"timeMillisSpent","acceptedMoveCount","selectedMoveCount"
16,1,3
19,1,12
20,1,2
21,1,1
22,1,4
23,1,4
24,1,3
25,1,4
26,1,6
28,1,6
29,1,2
30,1,4
31,1,4
32,1,3
33,1,2
33,1,1
35,1,6
36,1,3
38,1,6
39,1,6
40,1,2
41,1,3
41,1,2
42,1,1
43,1,3
44,1,5
44,1,2
45,1,2
46,1,2
47,1,2
48,1,9
49,1,1
50,1,3
50,1,1
51,1,2
52,1,4
52,1,1
54,1,5
55,1,3
55,1,3
56,1,1
56,1,1
57,1,1
58,1,1
59,1,3
60,1,6
61,1,2
62,1,3
63,1,8
64,1,1
65,1,1
66,1,4
66,1,3
67,1,1
67,1,3
68,1,1
69,1,2
70,1,4
70,1,1
71,1,1
71,1,1
72,1,1
72,1,2
73,1,3
74,1,5
75,1,2
76,1,1
77,1,9
78,1,5
79,1,3
80,1,2
81,1,3
82,1,5
84,1,9
85,1,1
85,1,3
86,1,3
86,1,1
87,1,2
87,1,1
88,1,1
4679,1,1
9057,1,1
9058,1,2
9059,1,2
13473,1,2
17772,1,4
22174,1,1
26736,1,1
31129,1,2
35679,1,1
40225,1,4
44607,1,4
48809,1,5
53211,1,2
57665,1,2
61928,1,1
66340,1,2
70850,1,4
75390,1,3
79722,1,6
84282,1,1
88631,1,5
92950,1,1
97308,1,1
101694,1,1
106023,1,1
106024,1,3
106024,1,1
106025,1,1
106025,1,1
106026,1,2
106026,1,1
106026,1,1
106026,1,1
106027,1,2
106027,1,2
106028,1,3
106029,1,7
106029,1,1
106030,1,1
106030,1,1
106030,1,1
106031,1,3
106031,1,1
106031,1,2
106032,1,1
106032,1,1
106032,1,1
106033,1,3
106033,1,2
106034,1,3
106034,1,2
106035,1,2
106035,1,1
106035,1,1
106036,1,2
106036,1,5
106037,1,7
106038,1,5
106038,1,5
106039,1,3
106039,1,2
106039,1,1
106040,1,1
106040,1,4
106041,1,1
106041,1,5
106042,1,4
106042,1,1
106042,1,1
106043,1,2
106043,1,3
106043,1,1
106044,1,4
106045,1,2
106045,1,4
106046,1,1
106046,1,3
106047,1,3
106048,1,2
106048,1,2
106049,1,2
106049,1,1
106050,1,1
106050,1,2
106051,1,1
106051,1,1
106052,1,1
106052,1,2
106052,1,5
106053,1,1
106053,1,2
106053,1,1
106054,1,4
106054,1,4
106055,1,1
106055,1,4
106055,1,3
106056,1,1
106056,1,1
106057,1,4
106057,1,1
106057,1,1
106057,1,2
106058,1,2
106058,1,1
106058,1,1
106059,1,4
106059,1,1
106059,1,3
106060,1,2
106060,1,1
106060,1,2
106061,1,4
106061,1,1
106061,1,1
106061,1,1
106062,1,1
106062,1,1
106062,1,1
106063,1,4
106063,1,5
106064,1,1
106064,1,3
106065,1,2
106065,1,4
106066,1,9
106066,1,2
106066,1,1
106067,1,3
106068,1,6
106068,1,5
106068,1,2
106069,1,1
106069,1,1
106069,1,1
106070,1,2
106070,1,1
106070,1,1
106070,1,1
106070,1,1
106071,1,2
106071,1,1
106071,1,2
106072,1,1
106072,1,1
106072,1,1
106072,1,1
106073,1,3
106074,1,3
106074,1,3
106074,1,1
106075,1,1
106075,1,2
106075,1,2
106075,1,1
106076,1,2
106076,1,6
106077,1,2
106077,1,1
106078,1,2
106078,1,1
106078,1,1
106078,1,1
106078,1,1
106079,1,4
106079,1,3
106080,1,1
106080,1,3
106080,1,3
106081,1,1
106081,1,1
106081,1,3
106082,1,3
106082,1,1
106082,1,1
106083,1,3
106083,1,5
106084,1,1
106084,1,3
106084,1,1
106085,1,2
106085,1,2
106085,1,2
106085,1,1
106086,1,1
106086,1,3
106086,1,1
106087,1,3
106087,1,2
106087,1,1
106088,1,5
106088,1,4
106088,1,1
106089,1,2
106089,1,1
106090,1,5
106090,1,1
106090,1,1
106091,1,2
106091,1,1
106091,1,1
106092,1,6
106093,1,1
106093,1,1
106093,1,1
106094,1,7
106095,1,1
106095,1,3
106096,1,1
106096,1,3
106097,1,2
106097,1,1
106098,1,1
106098,1,1
106098,1,1
106099,1,2
106099,1,1
106100,1,5
106100,1,1
106101,1,2
106101,1,2
106102,1,2
106104,1,6
106106,1,2
106107,1,1
106108,1,1
106109,1,1
106109,1,3
106110,1,5
106111,1,1
106112,1,4
106113,1,1
106113,1,1
106114,1,1
106115,1,2
106115,1,2
106116,1,1
106117,1,2
106117,1,2
106118,1,6
106119,1,6
106119,1,1
106120,1,1
106121,1,2
106121,1,2
106122,1,2
106122,1,1
106123,1,1
106123,1,2
106124,1,2
106124,1,1
106124,1,1
106125,1,1
106125,1,2
106125,1,2
106126,1,3
106126,1,2
106126,1,2
106127,1,3
106127,1,3
106128,1,2
106128,1,2
106128,1,1
106128,1,1
106129,1,3
106129,1,1
106130,1,10
106130,1,1
106131,1,4
106131,1,1
106131,1,2
106132,1,8
106132,1,2
106132,1,1
106133,1,4
106133,1,7
106134,1,4
106134,1,1
106135,1,4
106136,1,4
106136,1,4
106137,1,8
106137,1,4
106137,1,1
106138,1,3
106138,1,5
106139,1,1
106139,1,8
106140,1,1
106140,1,5
106141,1,2
106141,1,1
106142,1,1
106142,1,3
106143,1,1
106143,1,1
106143,1,1
106143,1,1
106144,1,2
106144,1,4
106144,1,2
106145,1,4
106145,1,1
106146,1,1
106146,1,2
106147,1,2
106147,1,3
106148,1,2
106148,1,4
106149,1,6
106150,1,2
106150,1,4
106151,1,1
106152,1,4
106152,1,1
106152,1,1
