"timeMillisSpent","calculateCountPerSecond"
4415,119
8694,0
12849,0
17288,0
21570,0
26131,0
30326,0
34847,0
39109,0
43559,0
48124,0
52462,0
56697,0
61015,0
65355,0
69934,0
74181,0
78519,0
82853,1
87378,0
91715,0
96152,0
100528,0
104998,0
109282,0
113575,0
117922,0
122248,0
126739,0
131051,0
135643,0
139958,0
144270,0
148689,0
153153,0
157525,0
161878,0
166051,0
170238,0
174592,0
179058,0
183537,0
187875,0
192233,0
196670,0
201070,0
201071,1000
205598,17
210068,0
214618,0
218941,0
223284,0
227736,0
232043,0
236362,0
240744,0
244954,0
249217,0
253664,1
257926,1
262430,0
266537,2
270850,0
275048,0
279502,0
283939,0
288336,0
292708,0
297148,0
301534,0
306010,0
310367,0
314759,0
319164,0
323624,0
327888,0
332308,0
336875,0
341337,0
345920,0
350241,0
354642,0
358848,0
363063,0
367630,0
371993,0
376357,0
380851,0
385009,0
389237,0
393603,0
397856,0
402265,0
406701,0
411025,0
415409,0
419683,0
424149,0
428533,0
432724,0
436990,1
441388,1
441388,5000
445778,34
450158,0
454670,0
458964,0
463282,0
467709,0
472031,0
476564,0
480803,0
493666,0
498040,0
502440,0
506746,0
515510,0
519870,0
524314,0
528831,0
533166,0
537504,0
546447,0
550730,0
555145,1
559753,0
563956,0
568291,0
572726,0
577008,0
590347,0
594862,0
598970,0
603475,1
