"timeMillisSpent","usedMemory","maxMemory"
4373,6453832,1834483712
4373,6453832,1834483712
8744,7166032,1834483712
8744,7166032,1834483712
12995,12814592,1834483712
17162,12814592,1834483712
21735,12815048,1834483712
26197,12815504,1834483712
30532,13528160,1834483712
34860,13528616,1834483712
39195,13529072,1834483712
43661,13531592,1834483712
48122,14235896,1834483712
52447,14235896,1834483712
56659,14235896,1834483712
61005,14948552,1834483712
65437,14949008,1834483712
69786,14949464,1834483712
74259,14949920,1834483712
78663,15658480,1834483712
83041,15661000,1834483712
87423,15661000,1834483712
91783,16373200,1834483712
96216,16373200,1834483712
100449,16373656,1834483712
104884,17086312,1834483712
109206,17086768,1834483712
113484,17087224,1834483712
117892,17087680,1834483712
122265,17802400,1834483712
126705,17802400,1834483712
130920,17802400,1834483712
135213,18514600,1834483712
139596,18515056,1834483712
143983,18515512,1834483712
148446,18515968,1834483712
152560,19221392,1834483712
156843,19221848,1834483712
161379,19224368,1834483712
165674,19936568,1834483712
170102,19936568,1834483712
174246,19936568,1834483712
178569,19937024,1834483712
183100,20649680,1834483712
187307,20650136,1834483712
191741,20650592,1834483712
191741,20650592,1834483712
196019,21355080,1834483712
200431,21357600,1834483712
204761,21357600,1834483712
209040,22086200,1834483712
213447,22086200,1834483712
217828,22086656,1834483712
221916,22087112,1834483712
226396,22799768,1834483712
230681,22800224,1834483712
235156,22800680,1834483712
239527,23515400,1834483712
243905,23515400,1834483712
248199,23515400,1834483712
252543,23515400,1834483712
256942,24219888,1834483712
261342,24220344,1834483712
265736,24220800,1834483712
265736,24220800,1834483712
270060,24925280,1834483712
270061,24925280,1834483712
274435,27037784,1834483712
278771,27040304,1834483712
283134,27752504,1834483712
283134,27752504,1834483712
287527,27752504,1834483712
292020,27752504,1834483712
296214,28465160,1834483712
300577,28465616,1834483712
305105,28466072,1834483712
309370,28466528,1834483712
313781,29179184,1834483712
318171,29181704,1834483712
322776,29181704,1834483712
327184,29181704,1834483712
331528,29885720,1834483712
335976,29886176,1834483712
340288,29886632,1834483712
340289,29886632,1834483712
344896,30599288,1834483712
349014,30599744,1834483712
353428,30600200,1834483712
357893,30602720,1834483712
362140,31306976,1834483712
366665,31306976,1834483712
371001,31306976,1834483712
375347,32019632,1834483712
379566,32020088,1834483712
384075,32020544,1834483712
388484,32021000,1834483712
392748,32725496,1834483712
397148,32728016,1834483712
401582,32728016,1834483712
405752,33440216,1834483712
410139,33440216,1834483712
414492,33440672,1834483712
418900,33441128,1834483712
423451,34145616,1834483712
428008,34146072,1834483712
432545,34146528,1834483712
436932,34853128,1834483712
441386,34853128,1834483712
445583,34853128,1834483712
449866,34853128,1834483712
454360,35565784,1834483712
458901,35566240,1834483712
463352,35566696,1834483712
467681,36287544,1834483712
472050,36288000,1834483712
476224,36290520,1834483712
480466,36290520,1834483712
484748,36994848,1834483712
488972,36994848,1834483712
493420,36995304,1834483712
497774,37707960,1834483712
502101,37708416,1834483712
506208,37708872,1834483712
510428,37709328,1834483712
514776,4083840,1834483712
519256,4086360,1834483712
523580,4086360,1834483712
527944,4086360,1834483712
532408,4782832,1834483712
536749,4783288,1834483712
541208,4783744,1834483712
545597,5485888,1834483712
550119,5486344,1834483712
554408,5486800,1834483712
558706,5489320,1834483712
563158,6191008,1834483712
567505,6191008,1834483712
571676,6191008,1834483712
576207,6901344,1834483712
580494,6901800,1834483712
585017,6902256,1834483712
589187,6902712,1834483712
593458,7604856,1834483712
597915,7607376,1834483712
602481,7607376,1834483712
