"timeMillisSpent","score"
5,"-1hard/-1medium/-2147483647soft"
5,"-1hard/-1medium/-2147483647soft"
5,"-1hard/-1medium/-2147483647soft"
6,"-1hard/-1medium/-2147483647soft"
6,"-1hard/-1medium/-2147483647soft"
6,"-1hard/-1medium/-2147483647soft"
6,"-1hard/-1medium/-2147483647soft"
6,"-1hard/-1medium/-2147483647soft"
6,"-1hard/-1medium/-2147483647soft"
6,"-1hard/-1medium/-2147483647soft"
7,"-1hard/-1medium/-2147483647soft"
7,"-1hard/-1medium/-2147483647soft"
7,"-1hard/-1medium/-2147483647soft"
7,"-1hard/-1medium/-2147483647soft"
7,"-1hard/-1medium/-2147483647soft"
7,"-1hard/-1medium/-2147483647soft"
7,"-1hard/-1medium/-2147483647soft"
8,"-1hard/-1medium/-2147483647soft"
8,"-1hard/-1medium/-2147483647soft"
8,"-1hard/-1medium/-2147483647soft"
8,"-1hard/-1medium/-2147483647soft"
8,"-1hard/-1medium/-2147483647soft"
8,"-1hard/-1medium/-2147483647soft"
8,"-1hard/-1medium/-2147483647soft"
8,"-1hard/-1medium/-2147483647soft"
8,"-1hard/-1medium/-2147483647soft"
8,"-1hard/-1medium/-2147483647soft"
9,"-1hard/-1medium/-2147483647soft"
9,"-1hard/-1medium/-2147483647soft"
9,"-1hard/-1medium/-2147483647soft"
9,"-1hard/-1medium/-2147483647soft"
9,"-1hard/-1medium/-2147483647soft"
9,"-1hard/-1medium/-2147483647soft"
9,"-1hard/-1medium/-2147483647soft"
9,"-1hard/-1medium/-2147483647soft"
9,"-1hard/-1medium/-2147483647soft"
9,"-1hard/-1medium/-2147483647soft"
10,"-1hard/0medium/-2147483647soft"
10,"-1hard/0medium/-2147483647soft"
10,"-1hard/0medium/-2147483647soft"
10,"-1hard/0medium/-2147483647soft"
10,"-1hard/0medium/-2147483647soft"
10,"-1hard/0medium/-2147483647soft"
10,"-1hard/0medium/-2147483647soft"
10,"-1hard/0medium/-2147483647soft"
11,"-1hard/0medium/-2147483647soft"
11,"-1hard/0medium/-2147483647soft"
11,"-1hard/0medium/-2147483647soft"
11,"-1hard/0medium/-2147483647soft"
11,"-1hard/0medium/-2147483647soft"
11,"-1hard/0medium/-2147483647soft"
11,"-1hard/0medium/-2147483647soft"
11,"-1hard/0medium/-2147483647soft"
12,"-1hard/0medium/-2147483647soft"
12,"-1hard/0medium/-2147483647soft"
12,"-1hard/-1medium/-2147483647soft"
12,"-1hard/-1medium/-2147483647soft"
12,"-1hard/-1medium/-2147483647soft"
12,"-1hard/-1medium/-2147483647soft"
12,"-1hard/-1medium/-2147483647soft"
12,"-1hard/-1medium/-2147483647soft"
4373,"0hard/-1medium/-406soft"
4373,"-1hard/-1medium/-2147483647soft"
4373,"-1hard/-1medium/-2147483647soft"
4374,"-1hard/-1medium/-2147483647soft"
4374,"-1hard/-1medium/-2147483647soft"
4374,"-1hard/-1medium/-2147483647soft"
4374,"-1hard/-1medium/-2147483647soft"
4374,"-1hard/-1medium/-2147483647soft"
4375,"-1hard/-1medium/-2147483647soft"
4375,"-1hard/-1medium/-2147483647soft"
8744,"0hard/-1medium/-404soft"
8744,"-1hard/-1medium/-2147483647soft"
8744,"-1hard/-1medium/-2147483647soft"
8744,"-1hard/-1medium/-2147483647soft"
8744,"-1hard/-1medium/-2147483647soft"
8745,"-1hard/-1medium/-2147483647soft"
8745,"-1hard/-1medium/-2147483647soft"
8745,"-1hard/-1medium/-2147483647soft"
8745,"-1hard/-1medium/-2147483647soft"
8745,"-1hard/-1medium/-2147483647soft"
8745,"-1hard/-1medium/-2147483647soft"
8745,"-1hard/-1medium/-2147483647soft"
8745,"-1hard/-1medium/-2147483647soft"
8745,"-1hard/-1medium/-2147483647soft"
8745,"-1hard/-1medium/-2147483647soft"
8746,"-1hard/-1medium/-2147483647soft"
8746,"-1hard/-1medium/-2147483647soft"
8746,"-1hard/-1medium/-2147483647soft"
8746,"-1hard/-1medium/-2147483647soft"
8746,"-1hard/-1medium/-2147483647soft"
8746,"-1hard/-1medium/-2147483647soft"
8746,"-1hard/-1medium/-2147483647soft"
8746,"-1hard/-1medium/-2147483647soft"
8746,"-1hard/-1medium/-2147483647soft"
8746,"-1hard/-1medium/-2147483647soft"
8747,"-1hard/-1medium/-2147483647soft"
8747,"-1hard/-1medium/-2147483647soft"
8747,"-1hard/-1medium/-2147483647soft"
8747,"-1hard/-1medium/-2147483647soft"
8747,"-1hard/-1medium/-2147483647soft"
8747,"-1hard/-1medium/-2147483647soft"
8747,"-1hard/-1medium/-2147483647soft"
8748,"-1hard/-1medium/-2147483647soft"
8748,"-1hard/-1medium/-2147483647soft"
8748,"-1hard/-1medium/-2147483647soft"
8748,"-1hard/-1medium/-2147483647soft"
8749,"-1hard/-1medium/-2147483647soft"
8749,"-1hard/-1medium/-2147483647soft"
8749,"-1hard/-1medium/-2147483647soft"
8749,"-1hard/-1medium/-2147483647soft"
8749,"-1hard/-1medium/-2147483647soft"
8750,"-1hard/-1medium/-2147483647soft"
8750,"-1hard/-1medium/-2147483647soft"
8750,"-1hard/-1medium/-2147483647soft"
8750,"-1hard/-1medium/-2147483647soft"
8750,"-1hard/-1medium/-2147483647soft"
8751,"-1hard/-1medium/-2147483647soft"
8751,"-1hard/-1medium/-2147483647soft"
8752,"-1hard/-1medium/-2147483647soft"
8752,"-1hard/-1medium/-2147483647soft"
8752,"-1hard/-1medium/-2147483647soft"
8753,"-1hard/-1medium/-2147483647soft"
8753,"-1hard/-1medium/-2147483647soft"
8753,"-1hard/-1medium/-2147483647soft"
8753,"-1hard/-1medium/-2147483647soft"
8754,"-1hard/-1medium/-2147483647soft"
8754,"-1hard/-1medium/-2147483647soft"
8754,"-1hard/-1medium/-2147483647soft"
8755,"-1hard/-1medium/-2147483647soft"
8755,"-1hard/-1medium/-2147483647soft"
8755,"-1hard/-1medium/-2147483647soft"
8755,"-1hard/-1medium/-2147483647soft"
8755,"-1hard/-1medium/-2147483647soft"
8756,"-1hard/-1medium/-2147483647soft"
8756,"-1hard/-1medium/-2147483647soft"
8756,"-1hard/-1medium/-2147483647soft"
8756,"-1hard/-1medium/-2147483647soft"
8757,"-1hard/-1medium/-2147483647soft"
8757,"-1hard/-1medium/-2147483647soft"
8757,"-1hard/-1medium/-2147483647soft"
8757,"-1hard/-1medium/-2147483647soft"
8758,"-1hard/-1medium/-2147483647soft"
8758,"-1hard/-1medium/-2147483647soft"
8758,"-1hard/-1medium/-2147483647soft"
8758,"-1hard/-1medium/-2147483647soft"
8758,"-1hard/-1medium/-2147483647soft"
8759,"-1hard/-1medium/-2147483647soft"
8759,"-1hard/-1medium/-2147483647soft"
8759,"-1hard/-1medium/-2147483647soft"
8759,"-1hard/-1medium/-2147483647soft"
8759,"-1hard/-1medium/-2147483647soft"
8760,"-1hard/-1medium/-2147483647soft"
8760,"-1hard/-1medium/-2147483647soft"
8760,"-1hard/-1medium/-2147483647soft"
8760,"-1hard/-1medium/-2147483647soft"
8760,"-1hard/-1medium/-2147483647soft"
8760,"-1hard/-1medium/-2147483647soft"
8760,"-1hard/-1medium/-2147483647soft"
8760,"-1hard/-1medium/-2147483647soft"
8761,"-1hard/-1medium/-2147483647soft"
8761,"-1hard/-1medium/-2147483647soft"
8761,"-1hard/-1medium/-2147483647soft"
8761,"-1hard/-1medium/-2147483647soft"
8761,"-1hard/-1medium/-2147483647soft"
8761,"-1hard/-1medium/-2147483647soft"
8761,"-1hard/-1medium/-2147483647soft"
8761,"-1hard/-1medium/-2147483647soft"
8762,"-1hard/-1medium/-2147483647soft"
8762,"-1hard/-1medium/-2147483647soft"
8762,"-1hard/-1medium/-2147483647soft"
8762,"-1hard/-1medium/-2147483647soft"
8762,"-1hard/-1medium/-2147483647soft"
8762,"-1hard/-1medium/-2147483647soft"
8762,"-1hard/-1medium/-2147483647soft"
8762,"-1hard/-1medium/-2147483647soft"
8763,"-1hard/-1medium/-2147483647soft"
8763,"-1hard/-1medium/-2147483647soft"
8763,"-1hard/-1medium/-2147483647soft"
8763,"-1hard/-1medium/-2147483647soft"
8763,"-1hard/-1medium/-2147483647soft"
8763,"-1hard/-1medium/-2147483647soft"
8763,"-1hard/-1medium/-2147483647soft"
8763,"-1hard/-1medium/-2147483647soft"
8764,"-1hard/-1medium/-2147483647soft"
8764,"-1hard/-1medium/-2147483647soft"
8764,"-1hard/-1medium/-2147483647soft"
8764,"-1hard/-1medium/-2147483647soft"
8764,"-1hard/-1medium/-2147483647soft"
8764,"-1hard/-1medium/-2147483647soft"
8764,"-1hard/-1medium/-2147483647soft"
8764,"-1hard/-1medium/-2147483647soft"
8765,"-1hard/-1medium/-2147483647soft"
8765,"-1hard/-1medium/-2147483647soft"
8765,"-1hard/-1medium/-2147483647soft"
8765,"-1hard/-1medium/-2147483647soft"
8765,"-1hard/-1medium/-2147483647soft"
8765,"-1hard/-1medium/-2147483647soft"
8765,"-1hard/-1medium/-2147483647soft"
8765,"-1hard/-1medium/-2147483647soft"
8765,"-1hard/-1medium/-2147483647soft"
8765,"-1hard/-1medium/-2147483647soft"
8766,"-1hard/-1medium/-2147483647soft"
8766,"-1hard/-1medium/-2147483647soft"
8766,"-1hard/-1medium/-2147483647soft"
8766,"-1hard/-1medium/-2147483647soft"
8766,"-1hard/-1medium/-2147483647soft"
8766,"-1hard/-1medium/-2147483647soft"
8766,"-1hard/-1medium/-2147483647soft"
8766,"-1hard/-1medium/-2147483647soft"
8766,"-1hard/-1medium/-2147483647soft"
8766,"-1hard/-1medium/-2147483647soft"
8767,"-1hard/-1medium/-2147483647soft"
8767,"-1hard/-1medium/-2147483647soft"
8767,"-1hard/-1medium/-2147483647soft"
8767,"-1hard/-1medium/-2147483647soft"
8767,"-1hard/-1medium/-2147483647soft"
12995,"0hard/-1medium/-415soft"
17162,"0hard/-2medium/-419soft"
21735,"0hard/-2medium/-419soft"
26197,"0hard/-2medium/-419soft"
30532,"0hard/-6medium/-420soft"
34860,"0hard/-2medium/-419soft"
39195,"0hard/-2medium/-419soft"
43661,"0hard/-2medium/-421soft"
48122,"0hard/-2medium/-419soft"
52447,"0hard/-2medium/-419soft"
56659,"0hard/-4medium/-485soft"
61005,"0hard/-7medium/-555soft"
65437,"0hard/-7medium/-555soft"
69786,"0hard/-7medium/-555soft"
74259,"0hard/-7medium/-554soft"
78663,"0hard/-7medium/-554soft"
83041,"0hard/-7medium/-554soft"
87423,"0hard/-7medium/-554soft"
91783,"0hard/-7medium/-554soft"
96216,"0hard/-7medium/-554soft"
100449,"0hard/-7medium/-553soft"
104884,"0hard/-7medium/-545soft"
