"timeMillisSpent","usedMemory","maxMemory"
4684,17268088,1834483712
9158,18481184,1834483712
13452,19083632,1834483712
13454,20288560,1834483712
17829,21494392,1834483712
17831,22096856,1834483712
22339,23301768,1834483712
26654,24506688,1834483712
26656,25711584,1834483712
31030,29326360,1834483712
35322,30531288,1834483712
39646,31744840,1834483712
39648,32347304,1834483712
44107,17247632,1834483712
48482,18440080,1834483712
52801,19632496,1834483712
57191,20824912,1834483712
61579,22017360,1834483712
66132,23210264,1834483712
70631,24403168,1834483712
74889,25596336,1834483712
74891,26192560,1834483712
79257,9369472,1834483712
83659,10549168,1834483712
87882,11728880,1834483712
87887,12908584,1834483712
92424,14678152,1834483712
92426,15857880,1834483712
96887,15194752,1834483712
96889,15752984,1834483712
101332,25802184,1834483712
105887,26918680,1834483712
110259,28035160,1834483712
110261,29151640,1834483712
114802,6440720,1834483712
119064,7293864,1834483712
123430,8147024,1834483712
127740,9000184,1834483712
131965,10706944,1834483712
136300,11560544,1834483712
140713,12414160,1834483712
145080,14129632,1834483712
149310,14983224,1834483712
153873,15838904,1834483712
158280,16692040,1834483712
158281,18399000,1834483712
162839,13685968,1834483712
167038,14570704,1834483712
175942,15455456,1834483712
180335,16340664,1834483712
184632,18118864,1834483712
184635,19003592,1834483712
189070,21658272,1834483712
193584,22543480,1834483712
197907,23428688,1834483712
202469,24315960,1834483712
202470,25200688,1834483712
206928,35825824,1834483712
211250,36710560,1834483712
215725,37595312,1834483712
220187,38480504,1834483712
224741,39365712,1834483712
229071,41143840,1834483712
229072,42028592,1834483712
233537,28833824,1834483712
238069,29634312,1834483712
242427,31251648,1834483712
246991,32052136,1834483712
251188,32853080,1834483712
255623,34454800,1834483712
259771,35255744,1834483712
264018,36056688,1834483712
268537,37661072,1834483712
273044,38464080,1834483712
277587,39264552,1834483712
277589,40065040,1834483712
281785,6354720,1834483712
286328,7913600,1834483712
286330,8693008,1834483712
290726,15707776,1834483712
295077,17275320,1834483712
299312,18055200,1834483712
303481,18835072,1834483712
307861,20402528,1834483712
307865,21181952,1834483712
312328,39108912,1834483712
316884,40668192,1834483712
321190,41450112,1834483712
325545,4048712,1834483712
329986,5565400,1834483712
334524,6323736,1834483712
338829,7840440,1834483712
343232,8599240,1834483712
351991,10116856,1834483712
356363,11642184,1834483712
360687,12400976,1834483712
365006,13161856,1834483712
369337,14678584,1834483712
373742,15436944,1834483712
378108,16195304,1834483712
382465,17712456,1834483712
386929,18471256,1834483712
391455,19989248,1834483712
395952,20748048,1834483712
400278,22273392,1834483712
404670,23034272,1834483712
408973,24559160,1834483712
413333,25317520,1834483712
417539,26075864,1834483712
421894,27593040,1834483712
426150,28351856,1834483712
430440,29869008,1834483712
434799,30627824,1834483712
439024,32145000,1834483712
443330,32905856,1834483712
447751,34423400,1834483712
452220,35181744,1834483712
456552,36707160,1834483712
460991,37465960,1834483712
465384,39007704,1834483712
469862,39766496,1834483712
474031,40525296,1834483712
478402,4062752,1834483712
482811,5558640,1834483712
487214,6306464,1834483712
491765,7802080,1834483712
496250,8550360,1834483712
496252,9298160,1834483712
500794,17524616,1834483712
505133,18272896,1834483712
509541,19768984,1834483712
509545,20516808,1834483712
513955,22013288,1834483712
518447,22763632,1834483712
522701,24267432,1834483712
522705,25015240,1834483712
527056,25763064,1834483712
527057,27258688,1834483712
531496,11375840,1834483712
535644,12113128,1834483712
535645,13587672,1834483712
540163,15807664,1834483712
544460,16544944,1834483712
548745,18028128,1834483712
552999,18765856,1834483712
553001,19503120,1834483712
557631,13542728,1834483712
561981,14269472,1834483712
566306,15722992,1834483712
570737,16449752,1834483712
575165,17904032,1834483712
579661,19366176,1834483712
584007,20093376,1834483712
588346,21555520,1834483712
592607,22282736,1834483712
597092,23738776,1834483712
601438,25216864,1834483712
