"timeMillisSpent","score"
13,"-1hard/-1medium/-2147483647soft"
14,"-1hard/-1medium/-2147483647soft"
14,"-1hard/-1medium/-2147483647soft"
14,"-1hard/-1medium/-2147483647soft"
15,"-1hard/-1medium/-2147483647soft"
16,"-1hard/-1medium/-2147483647soft"
17,"-1hard/-1medium/-2147483647soft"
17,"-1hard/-1medium/-2147483647soft"
18,"-1hard/-1medium/-2147483647soft"
18,"-1hard/-1medium/-2147483647soft"
18,"-1hard/-1medium/-2147483647soft"
19,"-1hard/-1medium/-2147483647soft"
19,"-1hard/-1medium/-2147483647soft"
4410,"0hard/-1medium/-412soft"
8945,"0hard/-1medium/-418soft"
13308,"0hard/-1medium/-418soft"
17599,"0hard/-1medium/-418soft"
22174,"0hard/-1medium/-416soft"
26392,"0hard/-1medium/-418soft"
26392,"-1hard/-1medium/-2147483647soft"
26392,"-1hard/-1medium/-2147483647soft"
26392,"-1hard/-1medium/-2147483647soft"
30557,"0hard/-1medium/-411soft"
34776,"0hard/0medium/-344soft"
39006,"0hard/0medium/-344soft"
43185,"0hard/0medium/-354soft"
43185,"-1hard/0medium/-2147483647soft"
43185,"-1hard/0medium/-2147483647soft"
43185,"-1hard/0medium/-2147483647soft"
43186,"-1hard/0medium/-2147483647soft"
47633,"0hard/-1medium/-401soft"
52152,"0hard/-3medium/-415soft"
56651,"0hard/-3medium/-417soft"
61038,"0hard/-3medium/-417soft"
65560,"0hard/-3medium/-417soft"
69802,"0hard/-3medium/-403soft"
74142,"0hard/-4medium/-472soft"
78366,"0hard/-4medium/-472soft"
78367,"-1hard/-1medium/-2147483647soft"
78367,"-1hard/-1medium/-2147483647soft"
78367,"-1hard/-1medium/-2147483647soft"
82721,"0hard/-1medium/-417soft"
82721,"-1hard/-1medium/-2147483647soft"
82721,"-1hard/-1medium/-2147483647soft"
82721,"-1hard/-1medium/-2147483647soft"
82722,"-1hard/-1medium/-2147483647soft"
82722,"-1hard/-1medium/-2147483647soft"
82722,"-1hard/-1medium/-2147483647soft"
82722,"-1hard/-1medium/-2147483647soft"
86959,"0hard/-1medium/-386soft"
91265,"0hard/-1medium/-386soft"
95453,"0hard/-1medium/-397soft"
99768,"0hard/-2medium/-418soft"
104203,"0hard/-1medium/-397soft"
104203,"-1hard/-1medium/-2147483647soft"
104204,"-1hard/-1medium/-2147483647soft"
108706,"0hard/-2medium/-416soft"
113088,"0hard/-1medium/-398soft"
113088,"-1hard/-1medium/-2147483647soft"
113088,"-1hard/-1medium/-2147483647soft"
113088,"-1hard/0medium/-2147483647soft"
113089,"-1hard/-1medium/-2147483647soft"
113089,"-1hard/-1medium/-2147483647soft"
113089,"-1hard/-1medium/-2147483647soft"
113089,"-1hard/-1medium/-2147483647soft"
113089,"-1hard/-1medium/-2147483647soft"
113089,"-1hard/-1medium/-2147483647soft"
117441,"0hard/-1medium/-381soft"
117441,"-1hard/-1medium/-2147483647soft"
117441,"-1hard/-1medium/-2147483647soft"
