"timeMillisSpent","calculateCountPerSecond"
4612,44
9150,0
13342,0
17737,0
22119,0
26339,0
30613,0
34970,0
39350,0
43949,0
48234,0
52622,0
56904,0
61261,0
65755,0
70133,0
74684,0
78878,0
83176,0
87641,1
91942,0
96149,0
100510,0
100511,1000
104906,8
109189,0
113562,0
117849,0
122072,0
126222,0
126223,2000
130780,5
130780,2000
135053,8
135053,3000
139491,1
143792,0
148196,0
152777,0
157311,0
161668,0
165854,0
170016,0
174181,0
178541,0
178541,1000
182656,2
187262,0
187263,2000
191643,1
196016,0
200521,0
204901,0
204901,5000
209357,30
213592,0
217985,0
217986,1000
222483,7
226827,0
226828,2000
231259,30
231260,1000
235647,0
240004,0
240005,1000
244406,4
244407,1000
248765,5
248766,2000
253212,0
253213,3000
257442,11
257442,2000
261978,9
266241,0
270551,0
275110,0
283809,0
288164,0
288164,1000
292512,2
296764,0
301022,0
305425,0
309928,0
309928,1000
314414,0
318776,0
318776,1000
323058,29
327453,0
327454,2000
331671,2
336038,1
340426,1
344809,0
349298,0
353683,0
358069,0
362491,0
366839,0
371379,0
375900,0
380059,0
384301,0
388582,0
392818,0
397284,0
401610,0
406142,0
406142,1000
410506,1
414927,0
419286,0
423851,0
428272,1
432758,0
437053,0
437053,1000
441315,0
445792,0
445792,1000
450101,74
454346,0
458656,0
458656,1000
463093,22
467370,0
471907,0
476419,1
480722,2
485219,0
489459,0
493706,0
497994,0
502417,0
506823,0
510955,0
515294,0
519802,1
524056,0
524057,3000
528310,6
532550,1
536799,0
549471,0
558063,0
562447,0
566733,0
571080,1
575634,0
580193,0
584609,0
588926,0
593474,0
597748,0
602007,0
