"timeMillisSpent","score"
12,"-1hard/-1medium/-2147483647soft"
13,"-1hard/-1medium/-2147483647soft"
13,"-1hard/-1medium/-2147483647soft"
13,"-1hard/-1medium/-2147483647soft"
14,"-1hard/-1medium/-2147483647soft"
14,"-1hard/-1medium/-2147483647soft"
15,"-1hard/-1medium/-2147483647soft"
15,"-1hard/-1medium/-2147483647soft"
15,"-1hard/-1medium/-2147483647soft"
15,"-1hard/-1medium/-2147483647soft"
16,"-1hard/-1medium/-2147483647soft"
16,"-1hard/-1medium/-2147483647soft"
16,"-1hard/-1medium/-2147483647soft"
17,"-1hard/-1medium/-2147483647soft"
17,"-1hard/-1medium/-2147483647soft"
17,"-1hard/-1medium/-2147483647soft"
17,"-1hard/-1medium/-2147483647soft"
18,"-1hard/-1medium/-2147483647soft"
18,"-1hard/-1medium/-2147483647soft"
18,"-1hard/-1medium/-2147483647soft"
19,"-1hard/-1medium/-2147483647soft"
19,"-1hard/-1medium/-2147483647soft"
19,"-1hard/-1medium/-2147483647soft"
20,"-1hard/-1medium/-2147483647soft"
20,"-1hard/-1medium/-2147483647soft"
20,"-1hard/-1medium/-2147483647soft"
21,"-1hard/-1medium/-2147483647soft"
21,"-1hard/-1medium/-2147483647soft"
21,"-1hard/-1medium/-2147483647soft"
21,"-1hard/-1medium/-2147483647soft"
22,"-1hard/-1medium/-2147483647soft"
22,"-1hard/-1medium/-2147483647soft"
23,"-1hard/-1medium/-2147483647soft"
23,"-1hard/-1medium/-2147483647soft"
23,"-1hard/-1medium/-2147483647soft"
4612,"0hard/-3medium/-397soft"
9150,"0hard/-3medium/-397soft"
13342,"0hard/-3medium/-383soft"
17737,"0hard/-3medium/-402soft"
22119,"0hard/-6medium/-402soft"
26339,"0hard/-6medium/-402soft"
30613,"0hard/-6medium/-409soft"
34970,"0hard/-6medium/-409soft"
39350,"0hard/-3medium/-416soft"
43949,"0hard/-6medium/-423soft"
48234,"0hard/-6medium/-423soft"
52622,"0hard/-6medium/-423soft"
56904,"0hard/-6medium/-423soft"
61261,"0hard/-4medium/-488soft"
65755,"0hard/-4medium/-467soft"
70133,"0hard/-4medium/-467soft"
74684,"0hard/-4medium/-455soft"
78878,"0hard/-4medium/-455soft"
83176,"0hard/-4medium/-454soft"
87641,"0hard/-1medium/-372soft"
91942,"0hard/-1medium/-372soft"
96148,"0hard/-1medium/-372soft"
100510,"0hard/-1medium/-385soft"
