"timeMillisSpent","acceptedMoveCount","selectedMoveCount"
30,1,10
34,1,4
36,1,1
39,1,1
40,1,1
43,1,10
45,1,3
47,1,4
49,1,5
51,1,2
52,1,4
53,1,3
54,1,4
55,1,2
57,1,4
58,1,1
59,1,2
60,1,9
62,1,3
63,1,2
64,1,1
65,1,1
66,1,1
67,1,1
70,1,11
71,1,1
72,1,5
73,1,4
75,1,2
76,1,2
77,1,1
78,1,2
79,1,3
81,1,8
82,1,2
83,1,2
84,1,1
85,1,1
4449,1,2
8930,1,1
13213,1,1
13215,1,2
17609,1,1
17611,1,1
21929,1,7
26253,1,2
26254,1,1
26255,1,1
26256,1,1
26257,1,5
30622,1,4
35028,1,1
39268,1,2
39271,1,3
39273,1,1
39276,1,3
39279,1,5
39283,1,5
39285,1,1
39286,1,1
39287,1,2
39288,1,1
39290,1,8
39291,1,1
39292,1,2
39293,1,1
39294,1,1
39295,1,1
43694,1,1
48281,1,1
52707,1,7
57243,1,1
61639,1,2
66027,1,2
70395,1,1
74907,1,1
74909,1,1
74911,1,2
74912,1,1
74913,1,1
74913,1,2
74914,1,1
74915,1,3
74916,1,3
74917,1,1
74918,1,1
74919,1,2
74920,1,3
74921,1,2
74922,1,2
79278,1,1
83571,1,1
87881,1,1
87882,1,1
87883,1,4
92055,1,1
92057,1,2
92060,1,3
92062,1,2
92064,1,1
92066,1,1
92069,1,2
92072,1,2
92074,1,1
92076,1,1
92078,1,2
92079,1,1
92080,1,1
92082,1,1
92083,1,2
92084,1,2
92085,1,1
92087,1,2
92088,1,1
92089,1,2
92090,1,1
92092,1,1
92093,1,1
92094,1,2
92095,1,2
92097,1,1
92098,1,2
92099,1,3
92100,1,3
92101,1,2
92103,1,2
92104,1,1
92106,1,1
92107,1,1
92109,1,1
92110,1,4
92111,1,2
92112,1,1
92114,1,2
92115,1,1
92116,1,3
92117,1,5
92119,1,2
92120,1,1
92121,1,1
92122,1,1
92123,1,1
92125,1,1
92126,1,1
92127,1,1
92128,1,2
92129,1,1
92130,1,1
92132,1,2
92133,1,1
92134,1,4
92136,1,1
92138,1,2
92139,1,4
92140,1,4
92141,1,1
92143,1,2
92144,1,1
92145,1,1
92147,1,1
92148,1,1
92149,1,5
92151,1,6
92152,1,2
92153,1,1
92154,1,1
92156,1,2
92157,1,1
92159,1,1
92160,1,2
92161,1,9
92162,1,2
92164,1,4
92166,1,3
92167,1,1
92169,1,2
92170,1,2
92171,1,1
92173,1,1
92174,1,1
92175,1,1
92177,1,1
92178,1,3
92179,1,2
92181,1,3
92182,1,1
92183,1,2
92184,1,1
92185,1,2
92187,1,2
92188,1,2
92189,1,1
92190,1,1
92191,1,2
92193,1,5
92194,1,3
96742,1,1
96744,1,1
96745,1,3
96746,1,2
96748,1,2
96749,1,1
96750,1,1
96751,1,1
96752,1,2
96754,1,3
96755,1,1
101304,1,4
105666,1,1
109948,1,1
109952,1,1
109956,1,1
109961,1,1
109962,1,3
109963,1,1
109965,1,1
109966,1,1
109967,1,1
109968,1,1
109969,1,3
109970,1,1
109971,1,1
109973,1,3
109975,1,2
109976,1,2
109977,1,5
109978,1,5
109979,1,3
109980,1,6
109981,1,3
109982,1,1
109983,1,4
109984,1,2
109985,1,2
109986,1,7
109987,1,2
109988,1,1
109989,1,2
109990,1,7
109991,1,6
109992,1,1
109993,1,2
114570,1,2
118904,1,1
123504,1,1
127897,1,1
132213,1,1
136487,1,1
140875,1,2
145204,1,1
149575,1,3
153876,1,1
158156,1,4
158158,1,2
158160,1,2
158162,1,1
158164,1,1
158168,1,4
158170,1,2
158171,1,1
158173,1,2
158174,1,1
158176,1,4
158177,1,1
158178,1,1
158180,1,1
158181,1,3
158182,1,1
158184,1,2
158186,1,1
158187,1,3
158188,1,2
158190,1,1
158191,1,1
158192,1,1
158193,1,1
158195,1,1
158196,1,1
158197,1,3
158198,1,8
158199,1,1
158200,1,2
158201,1,2
158202,1,1
158203,1,4
158204,1,2
158205,1,2
158206,1,1
162518,1,1
166851,1,1
175931,1,4
180215,1,1
184584,1,1
184585,1,1
184586,1,1
184586,1,3
189090,1,4
193382,1,2
197740,1,1
201966,1,1
201967,1,3
201968,1,1
201971,1,2
201975,1,1
201978,1,1
201981,1,1
201983,1,2
201984,1,4
201985,1,2
201986,1,1
206297,1,1
210677,1,1
214965,1,1
219490,1,1
223799,1,2
228373,1,2
228377,1,1
228378,1,1
228379,1,1
228380,1,2
228382,1,1
228383,1,4
228384,1,1
228385,1,1
228386,1,1
228387,1,2
228388,1,1
228389,1,3
228390,1,1
228391,1,1
228392,1,1
228393,1,1
228395,1,1
228396,1,1
228397,1,2
228398,1,1
228399,1,1
228400,1,6
228401,1,1
228403,1,4
228405,1,2
228406,1,2
228407,1,2
228408,1,1
228410,1,4
228411,1,4
228412,1,2
228413,1,2
228415,1,3
228416,1,1
228417,1,4
228419,1,1
228420,1,1
