"timeMillisSpent","score"
11,"-1hard/-1medium/-2147483647soft"
12,"-1hard/-1medium/-2147483647soft"
13,"-1hard/-1medium/-2147483647soft"
13,"-1hard/-1medium/-2147483647soft"
13,"-1hard/-1medium/-2147483647soft"
14,"-1hard/-1medium/-2147483647soft"
14,"-1hard/-1medium/-2147483647soft"
14,"-1hard/-1medium/-2147483647soft"
15,"-1hard/-1medium/-2147483647soft"
15,"-1hard/-1medium/-2147483647soft"
15,"-1hard/-1medium/-2147483647soft"
15,"-1hard/-1medium/-2147483647soft"
16,"-1hard/-1medium/-2147483647soft"
16,"-1hard/-1medium/-2147483647soft"
16,"-1hard/-1medium/-2147483647soft"
17,"-1hard/-1medium/-2147483647soft"
17,"-1hard/-1medium/-2147483647soft"
17,"-1hard/-1medium/-2147483647soft"
18,"-1hard/-1medium/-2147483647soft"
18,"-1hard/-1medium/-2147483647soft"
18,"-1hard/-1medium/-2147483647soft"
18,"-1hard/-1medium/-2147483647soft"
19,"-1hard/-1medium/-2147483647soft"
19,"-1hard/-1medium/-2147483647soft"
19,"-1hard/-1medium/-2147483647soft"
20,"-1hard/-1medium/-2147483647soft"
20,"-1hard/-1medium/-2147483647soft"
20,"-1hard/-1medium/-2147483647soft"
21,"-1hard/-1medium/-2147483647soft"
21,"-1hard/-1medium/-2147483647soft"
21,"-1hard/-1medium/-2147483647soft"
22,"-1hard/-1medium/-2147483647soft"
22,"-1hard/-1medium/-2147483647soft"
23,"-1hard/-1medium/-2147483647soft"
23,"-1hard/-1medium/-2147483647soft"
4464,"0hard/-3medium/-361soft"
8681,"0hard/-3medium/-361soft"
12976,"0hard/-3medium/-336soft"
17279,"0hard/-3medium/-365soft"
21795,"0hard/-6medium/-382soft"
26073,"0hard/-6medium/-382soft"
30638,"0hard/-6medium/-395soft"
35154,"0hard/-6medium/-395soft"
39460,"0hard/-3medium/-373soft"
43827,"0hard/-6medium/-403soft"
48113,"0hard/-6medium/-403soft"
52469,"0hard/-6medium/-403soft"
56824,"0hard/-6medium/-403soft"
61345,"0hard/-4medium/-457soft"
65821,"0hard/-4medium/-440soft"
70347,"0hard/-4medium/-440soft"
74628,"0hard/-4medium/-440soft"
78917,"0hard/-4medium/-440soft"
83210,"0hard/-4medium/-419soft"
87629,"0hard/-1medium/-360soft"
92167,"0hard/-1medium/-355soft"
96458,"0hard/-1medium/-355soft"
100811,"0hard/-1medium/-348soft"
100811,"-1hard/-1medium/-2147483647soft"
100812,"-1hard/-1medium/-2147483647soft"
100812,"-1hard/-1medium/-2147483647soft"
100812,"-1hard/0medium/-2147483647soft"
100813,"-1hard/0medium/-2147483647soft"
100813,"-1hard/0medium/-2147483647soft"
100814,"-1hard/0medium/-2147483647soft"
100814,"-1hard/0medium/-2147483647soft"
100814,"-1hard/0medium/-2147483647soft"
100815,"-1hard/-1medium/-2147483647soft"
100815,"-1hard/-1medium/-2147483647soft"
105148,"0hard/-1medium/-370soft"
109686,"0hard/-1medium/-370soft"
114253,"0hard/-1medium/-370soft"
118620,"0hard/-4medium/-444soft"
122902,"0hard/-1medium/-383soft"
127321,"0hard/-1medium/-373soft"
127321,"-1hard/-1medium/-2147483647soft"
127321,"-1hard/-1medium/-2147483647soft"
127322,"-1hard/-1medium/-2147483647soft"
127323,"-1hard/-1medium/-2147483647soft"
127323,"-1hard/-1medium/-2147483647soft"
127323,"-1hard/-1medium/-2147483647soft"
127323,"-1hard/-1medium/-2147483647soft"
127324,"-1hard/-1medium/-2147483647soft"
127325,"-1hard/-1medium/-2147483647soft"
127325,"-1hard/-1medium/-2147483647soft"
131698,"0hard/-1medium/-381soft"
131699,"-1hard/-1medium/-2147483647soft"
131700,"-1hard/-1medium/-2147483647soft"
131701,"-1hard/-1medium/-2147483647soft"
131702,"-1hard/-1medium/-2147483647soft"
131703,"-1hard/-1medium/-2147483647soft"
131704,"-1hard/-1medium/-2147483647soft"
131705,"-1hard/-1medium/-2147483647soft"
131705,"-1hard/-1medium/-2147483647soft"
