"timeMillisSpent","acceptedMoveCount","selectedMoveCount"
4,1,8
4,1,3
4,1,2
4,1,5
4,1,4
4,1,8
4,1,3
5,1,7
5,1,7
5,1,3
5,1,1
5,1,3
5,1,5
5,1,1
5,1,1
6,1,12
6,1,9
6,1,2
6,1,1
6,1,3
6,1,1
6,1,3
6,1,1
6,1,6
6,1,2
7,1,1
7,1,12
7,1,2
7,1,1
7,1,3
7,1,1
7,1,8
4320,1,6
8862,1,1
13276,1,2
17626,1,1
21933,1,1
21933,1,1
21933,1,3
21933,1,4
21933,1,3
21933,1,2
21933,1,1
21933,1,1
21933,1,3
21933,1,1
21933,1,3
21933,1,4
21934,1,1
21934,1,3
21934,1,3
21934,1,1
21934,1,6
21934,1,2
21934,1,1
21934,1,1
21934,1,4
21934,1,6
21934,1,4
21934,1,4
21934,1,6
21934,1,2
21934,1,3
21934,1,2
21934,1,2
21934,1,2
21934,1,1
21934,1,4
21935,1,1
21935,1,3
21935,1,1
21935,1,1
21935,1,1
21935,1,6
21935,1,3
21935,1,13
21935,1,5
21935,1,3
21935,1,2
21935,1,2
21935,1,1
21935,1,1
21935,1,8
21935,1,1
21935,1,6
21936,1,2
21936,1,1
21936,1,1
21936,1,1
21936,1,4
21936,1,1
21936,1,1
21936,1,3
21936,1,9
21936,1,2
21936,1,1
21936,1,7
21936,1,1
21936,1,1
21936,1,2
21936,1,1
21936,1,2
21936,1,4
21936,1,9
21936,1,1
21937,1,7
21937,1,4
21937,1,2
21937,1,1
21937,1,2
21937,1,1
21937,1,6
21937,1,2
21937,1,1
21937,1,1
21937,1,2
21937,1,5
21937,1,9
21937,1,1
21937,1,3
21937,1,3
21937,1,1
21937,1,2
21938,1,10
21938,1,2
21938,1,4
21938,1,1
21938,1,4
21938,1,4
21938,1,6
21938,1,3
21938,1,1
21938,1,1
21938,1,16
21938,1,1
21938,1,5
21938,1,1
21938,1,2
21938,1,1
21938,1,2
21938,1,1
21939,1,5
21939,1,1
21939,1,1
21939,1,4
21939,1,2
21939,1,2
21939,1,8
21939,1,1
21939,1,4
21939,1,1
21939,1,1
21939,1,6
21939,1,3
21939,1,1
21939,1,3
21939,1,1
21939,1,1
21939,1,3
21939,1,3
21940,1,6
21940,1,1
21940,1,4
21940,1,4
21940,1,1
21940,1,5
21940,1,1
21940,1,8
21940,1,1
21940,1,3
21940,1,4
21940,1,1
21940,1,5
21940,1,5
21940,1,1
21940,1,7
21940,1,1
21941,1,9
21941,1,5
21941,1,4
21941,1,1
21941,1,2
21941,1,4
21941,1,3
21941,1,13
21941,1,1
21941,1,14
21941,1,2
21941,1,2
21941,1,1
21941,1,4
21942,1,3
21942,1,3
21942,1,1
21942,1,3
21942,1,10
21942,1,3
21942,1,7
21942,1,1
21942,1,4
21942,1,4
21942,1,6
21942,1,2
21942,1,2
21942,1,2
21942,1,5
21942,1,4
21942,1,4
21943,1,3
21943,1,2
21943,1,2
21943,1,2
21943,1,2
21943,1,1
21943,1,10
21943,1,3
21943,1,3
21943,1,2
21943,1,2
21943,1,1
21943,1,3
21943,1,2
21943,1,6
21943,1,7
21943,1,2
21943,1,1
21944,1,4
21944,1,2
21944,1,1
21944,1,2
21944,1,3
21944,1,2
21944,1,7
21944,1,2
21944,1,2
21944,1,1
21944,1,3
21944,1,3
21944,1,6
21944,1,1
21944,1,4
21944,1,2
21944,1,6
21944,1,2
21944,1,1
21944,1,2
21945,1,4
21945,1,6
21945,1,7
21945,1,2
21945,1,3
21945,1,1
21945,1,4
21945,1,2
21945,1,2
21945,1,3
21945,1,8
21945,1,2
21945,1,2
21945,1,4
21945,1,3
21945,1,2
21946,1,3
21946,1,4
21946,1,1
21946,1,2
21946,1,2
21946,1,3
21946,1,2
21946,1,7
21946,1,3
21946,1,4
21946,1,1
21946,1,10
21946,1,3
21946,1,2
21946,1,4
21946,1,1
21946,1,1
21946,1,1
21946,1,3
21947,1,2
21947,1,1
21947,1,2
21947,1,4
21947,1,1
21947,1,5
21947,1,1
21947,1,1
21947,1,2
21947,1,2
21947,1,6
21947,1,2
21947,1,7
21947,1,2
21947,1,4
21947,1,2
21947,1,7
21947,1,1
21947,1,2
21948,1,4
21948,1,2
21948,1,3
21948,1,1
21948,1,3
21948,1,1
21948,1,1
21948,1,1
21948,1,1
21948,1,11
21948,1,1
21948,1,1
21948,1,1
26339,1,1
30792,1,1
30792,1,1
30792,1,1
30792,1,1
30792,1,4
35319,1,4
39767,1,3
44066,1,3
48451,1,2
52713,1,2
57038,1,1
61396,1,3
65697,1,1
70232,1,1
74580,1,2
78913,1,2
78913,1,2
78913,1,4
83277,1,9
83277,1,1
83278,1,7
83278,1,1
83278,1,1
83278,1,4
83279,1,3
83279,1,1
83279,1,2
83280,1,1
83280,1,1
83280,1,3
83280,1,2
83281,1,2
83281,1,1
83281,1,1
83281,1,2
83282,1,2
83282,1,1
83282,1,1
83282,1,1
83282,1,2
83283,1,5
83283,1,4
83284,1,2
83284,1,1
83284,1,5
83284,1,1
83285,1,4
83285,1,2
83285,1,1
83285,1,1
83285,1,1
83286,1,1
83286,1,1
83286,1,1
83286,1,1
83286,1,2
83286,1,3
83286,1,3
83286,1,2
83286,1,5
83287,1,4
83287,1,6
83287,1,4
83287,1,2
83287,1,1
83287,1,1
83287,1,4
83287,1,3
83287,1,5
83288,1,7
83288,1,3
83288,1,9
83288,1,1
83288,1,2
83288,1,6
83288,1,7
83288,1,1
83288,1,3
83289,1,2
83289,1,5
83289,1,1
83289,1,3
83289,1,2
83289,1,1
83289,1,1
83289,1,5
83289,1,2
83289,1,3
83289,1,1
83289,1,3
83290,1,1
83290,1,1
83290,1,3
83290,1,3
83290,1,1
83290,1,1
83290,1,2
83290,1,5
83290,1,3
83290,1,2
83290,1,1
83291,1,11
83291,1,1
83291,1,2
83291,1,1
83291,1,3
83291,1,3
83291,1,4
83291,1,1
83291,1,2
83291,1,1
83291,1,2
83291,1,2
83291,1,1
83291,1,1
83291,1,1
83292,1,2
83292,1,2
83292,1,9
83292,1,4
83292,1,3
83292,1,5
83292,1,2
83292,1,1
83292,1,6
83292,1,1
83293,1,2
83293,1,5
83293,1,2
83293,1,9
83293,1,1
83293,1,2
83293,1,1
83293,1,5
83293,1,1
83293,1,6
83293,1,3
83294,1,1
83294,1,1
83294,1,3
83294,1,2
83294,1,1
83294,1,8
83294,1,7
83294,1,1
83294,1,4
83294,1,4
83294,1,1
83295,1,2
83295,1,1
83295,1,1
83295,1,4
83295,1,1
83295,1,4
83295,1,2
83295,1,3
83295,1,3
83295,1,5
83295,1,9
83296,1,2
83296,1,4
83296,1,1
83296,1,1
83296,1,2
83296,1,2
83296,1,1
83296,1,5
83296,1,1
83296,1,3
83296,1,1
83297,1,6
83297,1,5
83297,1,5
83297,1,3
83297,1,2
83297,1,5
83297,1,1
83297,1,3
83297,1,2
83297,1,1
83297,1,2
83298,1,3
83298,1,3
83298,1,2
83298,1,1
83298,1,2
83298,1,1
83298,1,9
83298,1,2
83298,1,2
83298,1,1
83298,1,1
83298,1,2
83298,1,5
83299,1,2
83299,1,3
83299,1,6
83299,1,1
83299,1,1
83299,1,1
83299,1,1
83299,1,1
83299,1,2
83299,1,2
83300,1,20
83300,1,1
83300,1,7
83300,1,3
83300,1,4
83300,1,6
83300,1,4
83300,1,1
83300,1,3
83301,1,8
83301,1,1
83301,1,1
83301,1,5
83301,1,4
83301,1,3
83301,1,2
83301,1,2
83301,1,6
83301,1,1
83301,1,4
83301,1,1
83302,1,3
83302,1,1
83302,1,2
83302,1,2
83302,1,2
83302,1,2
83302,1,1
83302,1,2
83302,1,1
83302,1,4
83302,1,3
83302,1,3
83302,1,1
83303,1,1
83303,1,1
83303,1,4
83303,1,1
83303,1,2
83303,1,3
83303,1,1
83303,1,2
83303,1,4
83303,1,1
83303,1,6
83303,1,1
87837,1,2
87837,1,1
87837,1,1
87838,1,14
87838,1,2
87838,1,2
87838,1,2
87838,1,1
87838,1,4
87838,1,6
87838,1,1
87840,1,2
87840,1,1
87840,1,11
87841,1,7
87841,1,3
87841,1,6
87841,1,6
87841,1,1
87841,1,3
87841,1,1
87841,1,4
87841,1,5
87841,1,10
87841,1,1
87841,1,1
87841,1,1
87841,1,4
87841,1,2
87841,1,3
87841,1,7
87842,1,5
87842,1,5
87842,1,6
87842,1,6
87842,1,1
87842,1,1
87842,1,3
87842,1,1
87842,1,3
87842,1,2
87842,1,4
87842,1,2
87842,1,3
92147,1,3
92147,1,1
92148,1,2
92148,1,7
92148,1,1
92148,1,1
92148,1,1
92148,1,12
92148,1,1
92148,1,1
92148,1,10
92149,1,1
92149,1,3
92149,1,1
92149,1,2
92149,1,3
92149,1,2
92149,1,3
92149,1,1
92149,1,2
92149,1,3
92149,1,1
92149,1,2
92149,1,1
92149,1,2
92150,1,2
92150,1,4
92150,1,5
92150,1,2
92150,1,3
92150,1,9
92150,1,8
92150,1,4
92150,1,2
92150,1,1
92150,1,1
92150,1,1
92151,1,1
92151,1,2
92151,1,2
92151,1,3
92151,1,1
92151,1,1
92151,1,6
92151,1,1
92151,1,2
92151,1,1
92151,1,3
92151,1,6
92151,1,5
92151,1,1
92152,1,6
92152,1,1
92152,1,3
92152,1,1
92152,1,2
92152,1,1
92152,1,3
92152,1,1
92152,1,1
92152,1,1
92152,1,1
92152,1,1
92152,1,5
92152,1,2
92152,1,4
92152,1,1
92152,1,1
92152,1,2
92152,1,2
92153,1,2
92153,1,1
92153,1,12
92153,1,4
92153,1,1
92153,1,4
92153,1,3
92153,1,2
92153,1,3
92153,1,3
92153,1,1
92154,1,10
92154,1,13
92154,1,1
92154,1,8
92154,1,4
92154,1,2
92154,1,3
92154,1,6
92154,1,1
92154,1,4
92154,1,7
92155,1,5
92155,1,2
92155,1,1
92155,1,5
92155,1,5
92155,1,3
96527,1,4
100718,1,1
100718,1,2
100719,1,2
105038,1,2
109499,1,1
114000,1,3
114000,1,1
114000,1,2
114001,1,2
114001,1,4
114001,1,1
114002,1,5
114002,1,1
114002,1,2
114002,1,1
114003,1,2
114003,1,1
114003,1,10
114004,1,3
114004,1,4
114004,1,1
114004,1,2
114004,1,2
114005,1,4
114005,1,2
114005,1,1
114005,1,2
114005,1,2
114006,1,2
114006,1,3
114006,1,1
114006,1,1
114006,1,4
114006,1,6
114006,1,7
114006,1,1
114007,1,6
114007,1,2
114007,1,2
114007,1,4
114007,1,3
114007,1,4
114007,1,1
114007,1,1
114007,1,1
114007,1,2
114007,1,4
114008,1,3
114008,1,4
114008,1,6
114008,1,1
114008,1,1
114008,1,6
114008,1,1
114008,1,2
114008,1,9
114008,1,1
114009,1,4
114009,1,1
114009,1,2
114009,1,3
114009,1,2
114009,1,2
114009,1,1
114009,1,2
114009,1,1
114009,1,2
114009,1,3
114009,1,5
114010,1,9
114010,1,3
114010,1,3
114010,1,1
114010,1,2
114010,1,2
114010,1,4
114010,1,3
114010,1,1
114010,1,1
114011,1,1
114011,1,1
114011,1,2
114011,1,2
114011,1,2
114011,1,2
114011,1,4
114011,1,8
114011,1,1
114011,1,2
114011,1,3
114011,1,1
114012,1,3
114012,1,2
114012,1,1
114012,1,2
114012,1,2
114012,1,1
114012,1,1
114012,1,2
114012,1,1
114012,1,4
118281,1,4
122615,1,1
126946,1,1
131244,1,2
135446,1,3
139700,1,1
144156,1,3
148460,1,1
152779,1,1
152779,1,4
152779,1,1
152779,1,7
152780,1,4
157299,1,2
161590,1,1
165898,1,1
170264,1,4
174586,1,3
174586,1,1
174586,1,6
174586,1,1
174586,1,9
178804,1,5
183128,1,1
187453,1,1
187453,1,1
187453,1,3
187453,1,2
191774,1,3
191775,1,3
191775,1,7
196142,1,5
200485,1,1
204984,1,2
209208,1,1
213621,1,2
217928,1,2
217928,1,1
222367,1,1
226680,1,1
230988,1,2
235294,1,2
239692,1,1
244079,1,3
244079,1,3
244079,1,2
244079,1,1
244079,1,1
244079,1,2
244079,1,1
244079,1,1
244079,1,4
244079,1,2
244079,1,1
244079,1,3
244079,1,1
244079,1,2
244080,1,5
244080,1,1
244080,1,7
244080,1,10
244080,1,5
244080,1,12
244080,1,2
244080,1,1
244080,1,1
244080,1,1
244080,1,1
244080,1,4
244080,1,2
244080,1,2
244080,1,3
244080,1,3
244080,1,7
244080,1,8
244081,1,1
244081,1,1
244081,1,1
244081,1,3
244081,1,14
