"timeMillisSpent","calculateCountPerSecond"
4355,70
8743,0
8743,2000
13364,0
17884,0
22299,0
26750,0
31140,0
35568,0
39923,0
44352,0
48933,1
53335,0
57544,0
62043,0
66600,0
70913,0
75416,0
79750,1
84252,0
88543,1
92796,0
97172,0
101490,0
105864,0
105865,3000
110191,152
110191,2000
114622,41
118935,0
123330,0
127731,0
127731,1000
132101,0
136490,0
140955,0
140956,1000
145423,1
145424,1000
149892,12
154128,0
158440,0
162728,0
167264,0
171564,0
175926,0
180268,0
184528,0
188780,0
193031,0
197363,0
201946,0
206305,0
210492,0
215028,0
215028,1000
219479,2
219479,2000
223774,8
228065,0
228065,1000
232442,4
236975,0
236975,1000
241218,7
241218,3000
245492,11
249801,0
254212,0
258544,0
262785,1
267127,0
271634,0
280432,0
280432,3000
284831,4
289113,0
289113,2000
293392,3
297913,0
297914,2000
302223,6
306415,0
310750,0
315155,2
319568,0
324143,0
328568,0
332853,0
332853,2000
337084,5
341567,0
345807,0
350044,0
354396,0
358972,0
363460,0
367665,0
371828,0
376221,1
380730,1
385205,0
389489,0
393839,1
398354,0
402840,0
407348,0
411717,0
416048,0
420329,0
424717,0
429108,0
433362,0
437649,0
442202,0
446496,0
451043,0
459478,0
463772,0
472439,1
476752,0
480997,0
485534,0
489807,0
489808,1000
494196,77
498567,0
498568,1000
503089,0
507576,0
512028,0
516594,0
521009,0
525347,0
529700,0
534082,0
538272,0
542685,0
547250,0
551685,0
556107,0
560665,0
565089,0
569358,0
573717,0
578142,1
582660,0
586970,0
591329,0
591329,1000
595886,9
600152,0
