"timeMillisSpent","usedMemory","maxMemory"
4164,14080032,1834483712
4165,14080032,1834483712
8643,14791824,1834483712
8643,14791824,1834483712
12943,15504440,1834483712
12943,15504440,1834483712
17206,15504440,1834483712
21517,16224856,1834483712
25986,16225312,1834483712
25986,16225312,1834483712
30430,16937536,1834483712
34743,16937992,1834483712
39127,17650232,1834483712
43477,17652752,1834483712
48082,18372712,1834483712
52458,18372712,1834483712
56764,19088392,1834483712
56764,19088392,1834483712
61160,19088848,1834483712
65558,19809264,1834483712
69844,19809720,1834483712
74223,19810176,1834483712
74223,19810176,1834483712
78518,24801608,1834483712
78518,24801608,1834483712
82997,24804128,1834483712
87272,25524088,1834483712
87272,25524088,1834483712
91852,29084152,1834483712
96198,29796040,1834483712
96199,29796040,1834483712
100661,29796496,1834483712
105037,30516912,1834483712
109356,30517368,1834483712
113924,31237784,1834483712
118462,31238240,1834483712
122762,31960720,1834483712
122762,31960720,1834483712
127063,31960720,1834483712
127063,31960720,1834483712
131418,36244720,1834483712
131419,36244720,1834483712
135728,36244720,1834483712
140174,36965136,1834483712
144608,36965592,1834483712
144608,36965592,1834483712
149087,38398192,1834483712
153415,38398648,1834483712
157648,38399104,1834483712
162006,39117488,1834483712
162006,39117488,1834483712
166294,39837448,1834483712
170618,39837448,1834483712
174910,39837448,1834483712
174910,39837448,1834483712
179211,41269640,1834483712
183734,41270096,1834483712
188246,41990512,1834483712
192786,41990968,1834483712
197096,41991424,1834483712
201435,42705712,1834483712
205985,42705712,1834483712
210415,43425672,1834483712
210415,43425672,1834483712
214683,44145632,1834483712
218948,44146088,1834483712
218949,44146088,1834483712
223264,44866504,1834483712
227547,44866960,1834483712
231723,45583096,1834483712
236068,45583552,1834483712
240504,45586072,1834483712
244879,46298096,1834483712
249282,46298096,1834483712
253611,46881576,1834483712
258197,12425600,1834483712
262674,12425600,1834483712
262674,12425600,1834483712
267015,13135088,1834483712
271521,13135088,1834483712
275825,13137184,1834483712
275825,13842576,1834483712
280384,13842576,1834483712
284948,13842576,1834483712
289449,14543904,1834483712
293961,14546000,1834483712
298338,15255488,1834483712
302496,15255488,1834483712
307064,15964976,1834483712
311459,15967072,1834483712
315818,15967072,1834483712
320117,16668664,1834483712
324436,16668664,1834483712
328756,17380248,1834483712
333161,17380248,1834483712
337364,18089736,1834483712
341602,18089736,1834483712
345975,18091832,1834483712
350322,18793152,1834483712
354580,18793152,1834483712
358857,19502640,1834483712
363425,19504736,1834483712
367876,20214224,1834483712
372162,20214224,1834483712
376288,20931904,1834483712
380604,20934000,1834483712
393823,21635600,1834483712
398259,22347184,1834483712
398259,22347184,1834483712
402432,22347184,1834483712
406812,23056672,1834483712
411123,23056672,1834483712
415635,23058768,1834483712
419804,23760088,1834483712
419804,23760088,1834483712
424243,23760088,1834483712
428593,24461504,1834483712
432921,24463600,1834483712
432921,24463600,1834483712
437285,25164896,1834483712
441609,25866192,1834483712
441610,25866192,1834483712
446214,26567488,1834483712
446214,26567488,1834483712
450614,27274976,1834483712
454839,27274976,1834483712
459091,27984464,1834483712
463322,27984464,1834483712
467530,28696048,1834483712
471897,28696048,1834483712
476428,28696048,1834483712
480999,29397344,1834483712
485405,29399440,1834483712
489831,30108928,1834483712
494381,30108928,1834483712
498919,30818416,1834483712
503319,30820512,1834483712
507822,30820512,1834483712
507822,31525904,1834483712
512141,32227280,1834483712
512141,32227280,1834483712
516570,32936768,1834483712
520837,32938864,1834483712
525168,32938864,1834483712
525168,32938864,1834483712
529581,33640856,1834483712
534116,33640856,1834483712
538441,34344248,1834483712
543006,34344248,1834483712
547448,35053736,1834483712
551797,35053736,1834483712
556373,35765320,1834483712
556374,35765320,1834483712
560753,35765320,1834483712
560753,35765320,1834483712
565076,36466616,1834483712
569386,36466616,1834483712
573672,37178200,1834483712
577971,37178200,1834483712
582341,37887688,1834483712
586892,37887688,1834483712
591376,38599272,1834483712
595953,38599272,1834483712
600199,38599272,1834483712
