"timeMillisSpent","acceptedMoveCount","selectedMoveCount"
3,1,8
3,1,4
3,1,5
3,1,1
3,1,3
3,1,1
3,1,2
3,1,1
3,1,7
4,1,1
4,1,1
4,1,1
4,1,2
4406,1,2
8784,1,1
13110,1,2
17640,1,2
22049,1,2
26523,1,2
26523,1,1
26523,1,2
26523,1,2
30808,1,1
35164,1,1
39570,1,1
43778,1,3
43778,1,1
43779,1,2
43779,1,1
43779,1,1
48249,1,1
52649,1,1
56965,1,2
61308,1,2
65730,1,4
70162,1,1
74567,1,1
78916,1,2
78916,1,1
78916,1,3
78916,1,1
83682,1,1
83683,1,2
83683,1,4
83683,1,4
83683,1,2
83683,1,1
83683,1,1
83683,1,1
88546,1,3
93306,1,1
97730,1,1
102250,1,2
107008,1,1
107008,1,2
107008,1,3
111641,1,1
115974,1,2
115974,1,1
115974,1,1
115974,1,5
115974,1,1
115975,1,2
115975,1,2
115975,1,1
115975,1,2
115975,1,3
120423,1,1
120423,1,2
120423,1,5
120423,1,1
120423,1,1
120423,1,1
120423,1,2
120423,1,5
120423,1,4
124827,1,3
129126,1,1
129126,1,2
129126,1,2
129126,1,1
129127,1,3
129127,1,2
129127,1,1
129127,1,2
129127,1,3
129127,1,1
133604,1,4
138064,1,2
142365,1,1
142365,1,3
146752,1,1
151079,1,4
155449,1,5
159799,1,1
164020,1,2
168338,1,1
172732,1,3
177133,1,1
177133,1,1
181507,1,4
181507,1,1
181507,1,1
181507,1,1
181507,1,1
181507,1,3
181507,1,3
181508,1,3
181508,1,2
181508,1,6
181508,1,3
181508,1,1
181508,1,1
181508,1,1
181508,1,5
181508,1,3
181508,1,1
181508,1,2
181508,1,1
181508,1,2
181509,1,4
181509,1,4
181509,1,1
181509,1,2
181509,1,5
181509,1,2
181509,1,1
185886,1,1
185886,1,3
185886,1,2
185886,1,2
185886,1,1
190199,1,1
194556,1,1
199110,1,1
203678,1,1
208137,1,3
212513,1,1
216855,1,3
221243,1,2
225602,1,1
230013,1,1
234375,1,5
238758,1,3
238758,1,2
238758,1,1
238758,1,1
238759,1,5
238759,1,4
238759,1,9
238760,1,2
238760,1,1
238760,1,1
238760,1,4
238760,1,2
238760,1,2
238760,1,2
238761,1,2
238761,1,4
238761,1,1
238761,1,1
238761,1,1
238761,1,1
238762,1,4
238762,1,1
243346,1,4
247664,1,1
251930,1,1
251931,1,2
251931,1,4
256266,1,5
260802,1,1
260803,1,1
265146,1,1
269467,1,1
273777,1,2
278072,1,2
278072,1,1
278073,1,5
278073,1,1
278073,1,6
278073,1,1
278074,1,2
282340,1,3
286587,1,1
286588,1,2
286588,1,4
286588,1,5
286588,1,2
286588,1,3
286588,1,1
286588,1,2
286588,1,2
286588,1,5
286588,1,3
286588,1,2
286588,1,2
286588,1,2
286588,1,3
286588,1,1
286588,1,1
286588,1,4
286588,1,1
286588,1,7
286588,1,2
286588,1,1
286589,1,8
286589,1,8
286589,1,3
286589,1,2
286589,1,3
286589,1,1
286589,1,1
286589,1,2
286589,1,2
286589,1,1
286589,1,11
286589,1,1
286589,1,1
286589,1,1
286589,1,20
286589,1,3
286590,1,1
286590,1,5
286590,1,1
286590,1,5
286590,1,3
286590,1,3
286590,1,1
286590,1,1
286590,1,2
286590,1,6
286590,1,2
286590,1,1
286590,1,8
286590,1,1
286590,1,1
286590,1,1
286590,1,2
286590,1,4
286590,1,1
286591,1,5
286591,1,5
286591,1,7
286591,1,4
286591,1,5
286591,1,2
286591,1,1
286592,1,5
286592,1,2
286592,1,4
286592,1,2
286592,1,3
286592,1,2
286592,1,3
286592,1,6
286592,1,2
286592,1,3
286592,1,1
286593,1,3
286593,1,7
286593,1,2
286593,1,2
286593,1,4
286593,1,6
286593,1,2
286593,1,6
286594,1,4
286594,1,1
286594,1,1
286594,1,3
286594,1,4
286594,1,1
286594,1,2
286594,1,3
286594,1,1
286594,1,5
286594,1,4
286595,1,1
286595,1,1
286595,1,2
286595,1,4
286595,1,2
286595,1,3
286595,1,1
286595,1,2
286595,1,7
286595,1,1
286595,1,5
286596,1,5
286596,1,1
286596,1,1
286596,1,1
286596,1,2
286596,1,6
286596,1,8
286596,1,6
286596,1,3
286597,1,6
286597,1,2
286597,1,7
286597,1,8
286597,1,1
286597,1,2
286597,1,1
286597,1,1
286597,1,1
286597,1,1
286598,1,1
286598,1,3
290864,1,2
290864,1,1
290864,1,2
290864,1,4
290864,1,1
290865,1,10
290865,1,1
290865,1,1
290865,1,1
290865,1,4
290865,1,1
290865,1,1
290865,1,4
290865,1,2
290865,1,1
290865,1,1
290865,1,1
290865,1,2
290865,1,1
295193,1,2
295193,1,4
295193,1,3
295193,1,1
295193,1,5
295193,1,1
295193,1,6
295193,1,3
295193,1,1
295193,1,3
295193,1,2
295193,1,2
295193,1,1
295194,1,4
295194,1,3
295194,1,4
295194,1,5
295194,1,2
295194,1,2
295194,1,2
295194,1,4
295194,1,1
295194,1,2
