"timeMillisSpent","calculateCountPerSecond"
4564,42
8865,0
13147,0
17622,0
22004,0
22004,1000
26310,199
30646,0
30647,1000
34976,2
39352,0
43662,0
47845,0
52226,0
56546,0
60954,0
65446,0
69991,0
74285,0
78828,0
78829,2000
83168,2
83168,1000
87555,145
87556,1000
91893,36
91893,1000
96231,68
100421,0
100421,2000
104748,0
109283,0
113854,0
113855,1000
118262,57
122808,0
127121,0
131708,0
136014,0
140421,0
144569,0
149010,0
153337,0
153337,4000
157656,3
161970,0
166259,0
170642,0
174931,0
174931,1000
179440,4
183922,0
188332,0
188332,1000
192675,1
192675,3000
196942,2
201421,0
205633,0
210163,0
214524,0
218913,0
218913,1000
223398,0
227612,0
231989,0
236210,0
240679,0
245237,0
245237,3000
249516,67
253866,0
258366,0
262870,0
267189,0
271503,0
275891,0
280199,0
284476,0
288785,0
293124,0
297711,0
302190,0
306755,0
311090,0
315401,0
319888,2
324314,0
328766,0
333229,0
337517,0
341727,0
346289,0
350531,1
354787,0
359060,1
363557,0
367979,0
372583,0
377125,0
381452,0
385788,0
390258,0
394815,0
399235,0
403612,1
408028,0
412581,0
417046,0
421444,0
425689,0
429963,0
434288,0
438683,0
438684,1000
442942,11
447439,0
451902,0
456178,0
460686,0
460686,2000
465046,4
469351,0
473833,0
478201,0
482571,0
487021,0
491420,0
495810,2
495810,1000
500185,1
508808,0
513376,0
513376,1000
517648,2
521940,0
526310,0
530631,0
535085,0
539466,1
543821,0
548080,0
552324,0
556902,0
561419,0
561420,1000
565881,1
570243,0
574692,0
579062,0
583607,1
583607,1000
587866,139
587867,1000
592193,0
596718,0
601013,0
