"timeMillisSpent","score"
4,"-1hard/-1medium/-2147483647soft"
5,"-1hard/-1medium/-2147483647soft"
5,"-1hard/-1medium/-2147483647soft"
5,"-1hard/-1medium/-2147483647soft"
5,"-1hard/-1medium/-2147483647soft"
5,"-1hard/-1medium/-2147483647soft"
6,"-1hard/-1medium/-2147483647soft"
6,"-1hard/-1medium/-2147483647soft"
6,"-1hard/-1medium/-2147483647soft"
6,"-1hard/-1medium/-2147483647soft"
6,"-1hard/-1medium/-2147483647soft"
7,"-1hard/-1medium/-2147483647soft"
7,"-1hard/-1medium/-2147483647soft"
7,"-1hard/-1medium/-2147483647soft"
7,"-1hard/-1medium/-2147483647soft"
7,"-1hard/-1medium/-2147483647soft"
7,"-1hard/-1medium/-2147483647soft"
8,"-1hard/-1medium/-2147483647soft"
8,"-1hard/-1medium/-2147483647soft"
8,"-1hard/-1medium/-2147483647soft"
8,"-1hard/-1medium/-2147483647soft"
8,"-1hard/-1medium/-2147483647soft"
9,"-1hard/-1medium/-2147483647soft"
9,"-1hard/-1medium/-2147483647soft"
9,"-1hard/-1medium/-2147483647soft"
9,"-1hard/-1medium/-2147483647soft"
9,"-1hard/-1medium/-2147483647soft"
9,"-1hard/-1medium/-2147483647soft"
10,"-1hard/-1medium/-2147483647soft"
10,"-1hard/-1medium/-2147483647soft"
10,"-1hard/-1medium/-2147483647soft"
10,"-1hard/-1medium/-2147483647soft"
10,"-1hard/-1medium/-2147483647soft"
10,"-1hard/-1medium/-2147483647soft"
11,"-1hard/-1medium/-2147483647soft"
11,"-1hard/-1medium/-2147483647soft"
11,"-1hard/-1medium/-2147483647soft"
11,"-1hard/-1medium/-2147483647soft"
11,"-1hard/-1medium/-2147483647soft"
11,"-1hard/-1medium/-2147483647soft"
11,"-1hard/-1medium/-2147483647soft"
12,"-1hard/-1medium/-2147483647soft"
12,"-1hard/-1medium/-2147483647soft"
12,"-1hard/-1medium/-2147483647soft"
12,"-1hard/-1medium/-2147483647soft"
12,"-1hard/-1medium/-2147483647soft"
12,"-1hard/-1medium/-2147483647soft"
13,"-1hard/-1medium/-2147483647soft"
13,"-1hard/-1medium/-2147483647soft"
13,"-1hard/-1medium/-2147483647soft"
13,"-1hard/-1medium/-2147483647soft"
13,"-1hard/-1medium/-2147483647soft"
14,"-1hard/-1medium/-2147483647soft"
14,"-1hard/-1medium/-2147483647soft"
14,"-1hard/-1medium/-2147483647soft"
14,"-1hard/-1medium/-2147483647soft"
14,"-1hard/-1medium/-2147483647soft"
14,"-1hard/-1medium/-2147483647soft"
14,"-1hard/-1medium/-2147483647soft"
15,"-1hard/-1medium/-2147483647soft"
15,"-1hard/-1medium/-2147483647soft"
15,"-1hard/-1medium/-2147483647soft"
15,"-1hard/-1medium/-2147483647soft"
15,"-1hard/-1medium/-2147483647soft"
15,"-1hard/-1medium/-2147483647soft"
15,"-1hard/-1medium/-2147483647soft"
16,"-1hard/-1medium/-2147483647soft"
16,"-1hard/-1medium/-2147483647soft"
16,"-1hard/-1medium/-2147483647soft"
16,"-1hard/-1medium/-2147483647soft"
16,"-1hard/-1medium/-2147483647soft"
17,"-1hard/-1medium/-2147483647soft"
17,"-1hard/-1medium/-2147483647soft"
17,"-1hard/-1medium/-2147483647soft"
17,"-1hard/-1medium/-2147483647soft"
17,"-1hard/-1medium/-2147483647soft"
18,"-1hard/-1medium/-2147483647soft"
18,"-1hard/-1medium/-2147483647soft"
18,"-1hard/-1medium/-2147483647soft"
18,"-1hard/-1medium/-2147483647soft"
18,"-1hard/-1medium/-2147483647soft"
4189,"0hard/-1medium/-384soft"
8695,"0hard/-2medium/-384soft"
8695,"-1hard/-1medium/-2147483647soft"
8695,"-1hard/-1medium/-2147483647soft"
13115,"0hard/-2medium/-385soft"
17651,"0hard/-2medium/-385soft"
22145,"0hard/-2medium/-385soft"
26412,"0hard/-2medium/-385soft"
30984,"0hard/-4medium/-460soft"
35330,"0hard/-4medium/-457soft"
39690,"0hard/-4medium/-457soft"
44121,"0hard/-4medium/-457soft"
48395,"0hard/-4medium/-457soft"
52692,"0hard/-4medium/-445soft"
57101,"0hard/-2medium/-370soft"
61657,"0hard/-2medium/-385soft"
65869,"0hard/-2medium/-385soft"
70225,"0hard/-2medium/-385soft"
74668,"0hard/-2medium/-382soft"
79044,"0hard/-2medium/-382soft"
83488,"0hard/-2medium/-385soft"
87728,"0hard/-2medium/-385soft"
92050,"0hard/-2medium/-390soft"
96306,"0hard/-2medium/-377soft"
100568,"0hard/-1medium/-377soft"
105076,"0hard/-1medium/-378soft"
105076,"-1hard/-1medium/-2147483647soft"
105077,"-1hard/-1medium/-2147483647soft"
105077,"-1hard/-1medium/-2147483647soft"
105078,"-1hard/-1medium/-2147483647soft"
105078,"-1hard/-1medium/-2147483647soft"
105078,"-1hard/-1medium/-2147483647soft"
105078,"-1hard/-1medium/-2147483647soft"
105079,"-1hard/-1medium/-2147483647soft"
105079,"-1hard/-1medium/-2147483647soft"
105079,"-1hard/-1medium/-2147483647soft"
105079,"-1hard/-1medium/-2147483647soft"
105080,"-1hard/-1medium/-2147483647soft"
105080,"-1hard/-1medium/-2147483647soft"
105080,"-1hard/-1medium/-2147483647soft"
105081,"-1hard/-1medium/-2147483647soft"
105081,"-1hard/-1medium/-2147483647soft"
105081,"-1hard/-1medium/-2147483647soft"
105081,"-1hard/-1medium/-2147483647soft"
105081,"-1hard/-1medium/-2147483647soft"
105081,"-1hard/-1medium/-2147483647soft"
105082,"-1hard/-1medium/-2147483647soft"
105082,"-1hard/-1medium/-2147483647soft"
105082,"-1hard/-1medium/-2147483647soft"
105082,"-1hard/-1medium/-2147483647soft"
105082,"-1hard/-1medium/-2147483647soft"
105083,"-1hard/-1medium/-2147483647soft"
105083,"-1hard/-1medium/-2147483647soft"
105083,"-1hard/-1medium/-2147483647soft"
105083,"-1hard/-1medium/-2147483647soft"
105083,"-1hard/-1medium/-2147483647soft"
105083,"-1hard/-1medium/-2147483647soft"
105084,"-1hard/-1medium/-2147483647soft"
105084,"-1hard/-1medium/-2147483647soft"
105084,"-1hard/-1medium/-2147483647soft"
105085,"-1hard/-1medium/-2147483647soft"
105085,"-1hard/-1medium/-2147483647soft"
105085,"-1hard/-1medium/-2147483647soft"
105085,"-1hard/-1medium/-2147483647soft"
105085,"-1hard/-1medium/-2147483647soft"
105085,"-1hard/-1medium/-2147483647soft"
105086,"-1hard/-1medium/-2147483647soft"
105086,"-1hard/-1medium/-2147483647soft"
105086,"-1hard/-1medium/-2147483647soft"
105086,"-1hard/-1medium/-2147483647soft"
105086,"-1hard/-1medium/-2147483647soft"
105087,"-1hard/-1medium/-2147483647soft"
105087,"-1hard/-1medium/-2147483647soft"
105087,"-1hard/-1medium/-2147483647soft"
105087,"-1hard/-1medium/-2147483647soft"
105088,"-1hard/-1medium/-2147483647soft"
105088,"-1hard/-1medium/-2147483647soft"
105088,"-1hard/-1medium/-2147483647soft"
105088,"-1hard/-1medium/-2147483647soft"
105088,"-1hard/-1medium/-2147483647soft"
105088,"-1hard/-1medium/-2147483647soft"
105089,"-1hard/-1medium/-2147483647soft"
105089,"-1hard/-1medium/-2147483647soft"
105089,"-1hard/-1medium/-2147483647soft"
105089,"-1hard/-1medium/-2147483647soft"
105089,"-1hard/-1medium/-2147483647soft"
105089,"-1hard/-1medium/-2147483647soft"
105090,"-1hard/-1medium/-2147483647soft"
105090,"-1hard/-1medium/-2147483647soft"
105090,"-1hard/-1medium/-2147483647soft"
105090,"-1hard/-1medium/-2147483647soft"
105090,"-1hard/-1medium/-2147483647soft"
105090,"-1hard/-1medium/-2147483647soft"
105091,"-1hard/-1medium/-2147483647soft"
105091,"-1hard/-1medium/-2147483647soft"
105091,"-1hard/-1medium/-2147483647soft"
105091,"-1hard/-1medium/-2147483647soft"
105092,"-1hard/-1medium/-2147483647soft"
105092,"-1hard/-1medium/-2147483647soft"
105092,"-1hard/-1medium/-2147483647soft"
105092,"-1hard/-1medium/-2147483647soft"
105092,"-1hard/-1medium/-2147483647soft"
105092,"-1hard/-1medium/-2147483647soft"
105093,"-1hard/-1medium/-2147483647soft"
105093,"-1hard/-1medium/-2147483647soft"
105093,"-1hard/-1medium/-2147483647soft"
105093,"-1hard/-1medium/-2147483647soft"
105093,"-1hard/-1medium/-2147483647soft"
105093,"-1hard/-1medium/-2147483647soft"
105093,"-1hard/-1medium/-2147483647soft"
105094,"-1hard/-1medium/-2147483647soft"
105094,"-1hard/-1medium/-2147483647soft"
105094,"-1hard/-1medium/-2147483647soft"
105094,"-1hard/-1medium/-2147483647soft"
105094,"-1hard/-1medium/-2147483647soft"
105094,"-1hard/-1medium/-2147483647soft"
105094,"-1hard/-1medium/-2147483647soft"
105094,"-1hard/-1medium/-2147483647soft"
105094,"-1hard/-1medium/-2147483647soft"
105095,"-1hard/-1medium/-2147483647soft"
105095,"-1hard/-1medium/-2147483647soft"
105095,"-1hard/-1medium/-2147483647soft"
105095,"-1hard/-1medium/-2147483647soft"
105095,"-1hard/-1medium/-2147483647soft"
105095,"-1hard/-1medium/-2147483647soft"
105095,"-1hard/-1medium/-2147483647soft"
105096,"-1hard/-1medium/-2147483647soft"
105096,"-1hard/-1medium/-2147483647soft"
105096,"-1hard/-1medium/-2147483647soft"
105096,"-1hard/-1medium/-2147483647soft"
105096,"-1hard/-1medium/-2147483647soft"
105096,"-1hard/-1medium/-2147483647soft"
105097,"-1hard/-1medium/-2147483647soft"
105097,"-1hard/-1medium/-2147483647soft"
105097,"-1hard/-1medium/-2147483647soft"
105097,"-1hard/-1medium/-2147483647soft"
105097,"-1hard/-1medium/-2147483647soft"
105097,"-1hard/-1medium/-2147483647soft"
105097,"-1hard/-1medium/-2147483647soft"
105097,"-1hard/-1medium/-2147483647soft"
105097,"-1hard/-1medium/-2147483647soft"
