"timeMillisSpent","acceptedMoveCount","selectedMoveCount"
4,1,3
4,1,12
4,1,2
4,1,1
4,1,4
4,1,4
4,1,3
4,1,4
4,1,6
5,1,6
5,1,2
5,1,4
5,1,4
5,1,3
5,1,2
5,1,1
5,1,6
5,1,3
5,1,6
5,1,6
5,1,2
5,1,3
6,1,2
6,1,1
6,1,3
6,1,5
6,1,2
6,1,2
6,1,2
6,1,2
6,1,9
6,1,1
6,1,3
6,1,1
6,1,2
6,1,4
6,1,1
7,1,5
7,1,3
7,1,3
7,1,1
7,1,1
7,1,1
7,1,1
7,1,3
7,1,6
7,1,2
7,1,3
7,1,8
7,1,1
7,1,1
7,1,4
8,1,3
8,1,1
8,1,3
8,1,1
8,1,2
8,1,4
8,1,1
8,1,1
8,1,1
8,1,1
8,1,2
8,1,3
8,1,5
8,1,2
8,1,1
8,1,9
9,1,5
9,1,3
9,1,2
9,1,3
9,1,5
9,1,9
9,1,1
9,1,3
9,1,3
9,1,1
9,1,2
9,1,1
9,1,1
4308,1,1
8603,1,1
8603,1,2
8603,1,2
12949,1,2
17207,1,4
21498,1,1
25720,1,1
30096,1,2
34598,1,1
39138,1,4
43610,1,4
47831,1,5
52432,1,2
56973,1,2
61255,1,1
65675,1,2
70020,1,4
74529,1,3
78743,1,6
83036,1,1
87305,1,5
91829,1,1
96168,1,1
100709,1,1
105059,1,1
105059,1,3
105059,1,1
105059,1,1
105059,1,1
105059,1,2
105059,1,1
105059,1,1
105059,1,1
105059,1,2
105060,1,2
105060,1,3
105060,1,7
105060,1,1
105061,1,1
105061,1,1
105061,1,1
105061,1,3
105061,1,1
105061,1,2
105062,1,1
105062,1,1
105062,1,1
105062,1,3
105062,1,2
105063,1,3
105063,1,2
105063,1,2
105063,1,1
105063,1,1
105064,1,2
105064,1,5
105064,1,7
105064,1,5
105064,1,5
105064,1,3
105065,1,2
105065,1,1
105065,1,1
105065,1,4
105065,1,1
105065,1,5
105065,1,4
105065,1,1
105065,1,1
105066,1,2
105066,1,3
105066,1,1
105066,1,4
105066,1,2
105067,1,4
105067,1,1
105067,1,3
105067,1,3
105067,1,2
105068,1,2
105068,1,2
105068,1,1
105068,1,1
105068,1,2
105068,1,1
105068,1,1
105069,1,1
105069,1,2
105069,1,5
105069,1,1
105069,1,2
105069,1,1
105069,1,4
105069,1,4
105070,1,1
105070,1,4
105070,1,3
105070,1,1
105070,1,1
105070,1,4
105070,1,1
105070,1,1
105070,1,2
105071,1,2
105071,1,1
105071,1,1
105071,1,4
105071,1,1
105071,1,3
105071,1,2
105071,1,1
105071,1,2
105072,1,4
105072,1,1
105072,1,1
105072,1,1
105072,1,1
105072,1,1
105072,1,1
105072,1,4
105072,1,5
105073,1,1
105073,1,3
105073,1,2
105073,1,4
105073,1,9
105073,1,2
105073,1,1
105073,1,3
105074,1,6
105074,1,5
105074,1,2
105074,1,1
105074,1,1
105074,1,1
105074,1,2
105074,1,1
105074,1,1
105075,1,1
105075,1,1
105075,1,2
105075,1,1
105075,1,2
105075,1,1
105075,1,1
105075,1,1
105075,1,1
105075,1,3
105075,1,3
105076,1,3
105076,1,1
105076,1,1
105076,1,2
105076,1,2
105076,1,1
105076,1,2
105076,1,6
105076,1,2
105076,1,1
105077,1,2
105077,1,1
105077,1,1
105077,1,1
105077,1,1
105077,1,4
105077,1,3
105077,1,1
105077,1,3
105078,1,3
105078,1,1
105078,1,1
105078,1,3
105078,1,3
105078,1,1
105078,1,1
105078,1,3
105078,1,5
105078,1,1
105079,1,3
105079,1,1
105079,1,2
105079,1,2
105079,1,2
105079,1,1
105079,1,1
105079,1,3
105079,1,1
105079,1,3
105080,1,2
105080,1,1
105080,1,5
105080,1,4
105080,1,1
105080,1,2
105080,1,1
105080,1,5
