"timeMillisSpent","score"
4,"-1hard/-1medium/-2147483647soft"
5,"-1hard/-1medium/-2147483647soft"
5,"-1hard/-1medium/-2147483647soft"
5,"-1hard/-1medium/-2147483647soft"
5,"-1hard/-1medium/-2147483647soft"
5,"-1hard/-1medium/-2147483647soft"
5,"-1hard/-1medium/-2147483647soft"
5,"-1hard/-1medium/-2147483647soft"
6,"-1hard/-1medium/-2147483647soft"
6,"-1hard/-1medium/-2147483647soft"
6,"-1hard/-1medium/-2147483647soft"
6,"-1hard/-1medium/-2147483647soft"
6,"-1hard/-1medium/-2147483647soft"
4310,"0hard/-1medium/-380soft"
8638,"0hard/-4medium/-455soft"
13143,"0hard/-4medium/-455soft"
17750,"0hard/-4medium/-455soft"
22187,"0hard/-4medium/-455soft"
26521,"0hard/-4medium/-472soft"
30792,"0hard/-4medium/-472soft"
35322,"0hard/-4medium/-472soft"
39638,"0hard/-4medium/-472soft"
43971,"0hard/-4medium/-472soft"
48254,"0hard/-4medium/-472soft"
52630,"0hard/-4medium/-472soft"
56931,"0hard/-1medium/-397soft"
61384,"0hard/-1medium/-397soft"
65774,"0hard/-1medium/-397soft"
70009,"0hard/-3medium/-400soft"
74487,"0hard/-3medium/-400soft"
78854,"0hard/-6medium/-405soft"
83083,"0hard/-6medium/-405soft"
87596,"0hard/-6medium/-385soft"
92095,"0hard/-6medium/-385soft"
96416,"0hard/-3medium/-405soft"
100721,"0hard/-1medium/-391soft"
100721,"-1hard/-1medium/-2147483647soft"
100721,"-1hard/-1medium/-2147483647soft"
100721,"-1hard/-1medium/-2147483647soft"
100721,"-1hard/-1medium/-2147483647soft"
100721,"-1hard/-1medium/-2147483647soft"
100721,"-1hard/-1medium/-2147483647soft"
100722,"-1hard/-1medium/-2147483647soft"
100722,"-1hard/-1medium/-2147483647soft"
100722,"-1hard/-1medium/-2147483647soft"
105112,"0hard/-1medium/-391soft"
109539,"0hard/-1medium/-391soft"
109539,"-1hard/-1medium/-2147483647soft"
109540,"-1hard/-1medium/-2147483647soft"
113871,"0hard/-2medium/-383soft"
118262,"0hard/-2medium/-382soft"
118262,"-1hard/-1medium/-2147483647soft"
122679,"0hard/-1medium/-363soft"
126936,"0hard/-1medium/-363soft"
131281,"0hard/-4medium/-437soft"
135803,"0hard/-4medium/-437soft"
140103,"0hard/-4medium/-437soft"
144617,"0hard/-4medium/-437soft"
149071,"0hard/-4medium/-445soft"
153401,"0hard/-7medium/-497soft"
157670,"0hard/-4medium/-423soft"
162031,"0hard/-4medium/-423soft"
166618,"0hard/-1medium/-357soft"
171102,"0hard/-1medium/-357soft"
175562,"0hard/-1medium/-357soft"
175563,"-1hard/-1medium/-2147483647soft"
175563,"-1hard/-1medium/-2147483647soft"
175563,"-1hard/-1medium/-2147483647soft"
175563,"-1hard/-1medium/-2147483647soft"
175563,"-1hard/0medium/-2147483647soft"
175563,"-1hard/-1medium/-2147483647soft"
175563,"-1hard/-1medium/-2147483647soft"
175563,"-1hard/-1medium/-2147483647soft"
175563,"-1hard/-1medium/-2147483647soft"
175563,"-1hard/-1medium/-2147483647soft"
175563,"-1hard/-1medium/-2147483647soft"
175563,"-1hard/-1medium/-2147483647soft"
175563,"-1hard/-1medium/-2147483647soft"
175563,"-1hard/-1medium/-2147483647soft"
175564,"-1hard/-1medium/-2147483647soft"
175564,"-1hard/-1medium/-2147483647soft"
175564,"-1hard/-1medium/-2147483647soft"
175564,"-1hard/-1medium/-2147483647soft"
175564,"-1hard/-1medium/-2147483647soft"
175564,"-1hard/-1medium/-2147483647soft"
175564,"-1hard/-1medium/-2147483647soft"
175564,"-1hard/-1medium/-2147483647soft"
175564,"-1hard/-1medium/-2147483647soft"
175564,"-1hard/0medium/-2147483647soft"
175564,"-1hard/0medium/-2147483647soft"
175564,"-1hard/0medium/-2147483647soft"
179840,"0hard/-1medium/-401soft"
179840,"-1hard/-1medium/-2147483647soft"
179840,"-1hard/-1medium/-2147483647soft"
184378,"0hard/-1medium/-390soft"
184379,"-1hard/-1medium/-2147483647soft"
184379,"-1hard/-1medium/-2147483647soft"
184379,"-1hard/-1medium/-2147483647soft"
184379,"-1hard/-1medium/-2147483647soft"
184379,"-1hard/-1medium/-2147483647soft"
184379,"-1hard/-1medium/-2147483647soft"
184379,"-1hard/-1medium/-2147483647soft"
184379,"-1hard/-1medium/-2147483647soft"
184379,"-1hard/-1medium/-2147483647soft"
184379,"-1hard/-1medium/-2147483647soft"
184379,"-1hard/-1medium/-2147483647soft"
184380,"-1hard/-1medium/-2147483647soft"
184380,"-1hard/-1medium/-2147483647soft"
184380,"-1hard/-1medium/-2147483647soft"
184380,"-1hard/-1medium/-2147483647soft"
184380,"-1hard/-1medium/-2147483647soft"
184380,"-1hard/-1medium/-2147483647soft"
184380,"-1hard/-1medium/-2147483647soft"
184380,"-1hard/-1medium/-2147483647soft"
184380,"-1hard/-1medium/-2147483647soft"
184380,"-1hard/-1medium/-2147483647soft"
184380,"-1hard/-1medium/-2147483647soft"
184380,"-1hard/-1medium/-2147483647soft"
184380,"-1hard/-1medium/-2147483647soft"
184380,"-1hard/-1medium/-2147483647soft"
184381,"-1hard/-1medium/-2147483647soft"
184381,"-1hard/-1medium/-2147483647soft"
184381,"-1hard/-1medium/-2147483647soft"
184381,"-1hard/-1medium/-2147483647soft"
184381,"-1hard/-1medium/-2147483647soft"
184381,"-1hard/-1medium/-2147483647soft"
184381,"-1hard/-1medium/-2147483647soft"
184381,"-1hard/-1medium/-2147483647soft"
184381,"-1hard/-1medium/-2147483647soft"
184381,"-1hard/-1medium/-2147483647soft"
184381,"-1hard/-1medium/-2147483647soft"
184381,"-1hard/-1medium/-2147483647soft"
184381,"-1hard/-1medium/-2147483647soft"
184382,"-1hard/-1medium/-2147483647soft"
184382,"-1hard/-1medium/-2147483647soft"
184382,"-1hard/-1medium/-2147483647soft"
184382,"-1hard/-1medium/-2147483647soft"
184382,"-1hard/-1medium/-2147483647soft"
188703,"0hard/-1medium/-387soft"
193202,"0hard/-1medium/-387soft"
193202,"-1hard/-1medium/-2147483647soft"
193202,"-1hard/-1medium/-2147483647soft"
193202,"-1hard/-1medium/-2147483647soft"
193202,"-1hard/-1medium/-2147483647soft"
193203,"-1hard/-1medium/-2147483647soft"
193203,"-1hard/-1medium/-2147483647soft"
193203,"-1hard/-1medium/-2147483647soft"
193203,"-1hard/-1medium/-2147483647soft"
193203,"-1hard/-1medium/-2147483647soft"
193203,"-1hard/-1medium/-2147483647soft"
193203,"-1hard/-1medium/-2147483647soft"
193203,"-1hard/-1medium/-2147483647soft"
197844,"0hard/-1medium/-370soft"
197844,"-1hard/-1medium/-2147483647soft"
197844,"-1hard/-1medium/-2147483647soft"
197844,"-1hard/-1medium/-2147483647soft"
197844,"-1hard/-1medium/-2147483647soft"
197844,"-1hard/-1medium/-2147483647soft"
197844,"-1hard/-1medium/-2147483647soft"
197845,"-1hard/-1medium/-2147483647soft"
197845,"-1hard/-1medium/-2147483647soft"
197845,"-1hard/-1medium/-2147483647soft"
197845,"-1hard/-1medium/-2147483647soft"
197845,"-1hard/-1medium/-2147483647soft"
202195,"0hard/-3medium/-342soft"
206600,"0hard/-3medium/-350soft"
211119,"0hard/-3medium/-350soft"
215689,"0hard/-3medium/-350soft"
219905,"0hard/-6medium/-393soft"
224125,"0hard/-6medium/-381soft"
228326,"0hard/-2medium/-368soft"
232617,"0hard/-2medium/-384soft"
232617,"-1hard/-1medium/-2147483647soft"
232617,"-1hard/-1medium/-2147483647soft"
232617,"-1hard/-1medium/-2147483647soft"
232617,"-1hard/-1medium/-2147483647soft"
232617,"-1hard/-1medium/-2147483647soft"
232617,"-1hard/-1medium/-2147483647soft"
236854,"0hard/-2medium/-378soft"
241080,"0hard/-2medium/-378soft"
245477,"0hard/-2medium/-378soft"
250013,"0hard/-2medium/-378soft"
250013,"-1hard/-1medium/-2147483647soft"
254280,"0hard/-1medium/-387soft"
254280,"-1hard/-1medium/-2147483647soft"
254280,"-1hard/-1medium/-2147483647soft"
254280,"-1hard/-1medium/-2147483647soft"
258602,"0hard/-1medium/-387soft"
262898,"0hard/-1medium/-387soft"
267239,"0hard/-1medium/-387soft"
271770,"0hard/-1medium/-386soft"
276080,"0hard/-1medium/-387soft"
280337,"0hard/-1medium/-379soft"
284629,"0hard/-1medium/-384soft"
284629,"-1hard/-1medium/-2147483647soft"
288988,"0hard/-1medium/-384soft"
293559,"0hard/-1medium/-384soft"
293560,"-1hard/-1medium/-2147483647soft"
293560,"-1hard/-1medium/-2147483647soft"
293560,"-1hard/-1medium/-2147483647soft"
297950,"0hard/-1medium/-373soft"
302203,"0hard/-1medium/-370soft"
302203,"-1hard/-1medium/-2147483647soft"
302203,"-1hard/-1medium/-2147483647soft"
302203,"-1hard/0medium/-2147483647soft"
302203,"-1hard/0medium/-2147483647soft"
302204,"-1hard/0medium/-2147483647soft"
302204,"-1hard/-1medium/-2147483647soft"
302204,"-1hard/0medium/-2147483647soft"
302204,"-1hard/0medium/-2147483647soft"
302204,"-1hard/0medium/-2147483647soft"
306530,"0hard/0medium/-331soft"
310821,"0hard/-3medium/-353soft"
315148,"0hard/-3medium/-345soft"
319455,"0hard/-3medium/-353soft"
323748,"0hard/-1medium/-393soft"
328039,"0hard/-3medium/-395soft"
332350,"0hard/-3medium/-395soft"
336675,"0hard/-3medium/-395soft"
340977,"0hard/-3medium/-403soft"
345506,"0hard/-3medium/-403soft"
349804,"0hard/-1medium/-401soft"
354178,"0hard/-1medium/-393soft"
358574,"0hard/-1medium/-393soft"
363041,"0hard/-3medium/-395soft"
371740,"0hard/-3medium/-395soft"
376122,"0hard/-3medium/-395soft"
384804,"0hard/-3medium/-395soft"
389175,"0hard/0medium/-321soft"
393474,"0hard/0medium/-324soft"
397920,"0hard/-1medium/-365soft"
