"timeMillisSpent","acceptedMoveCount","selectedMoveCount"
4547,1,7
8907,1,1
13199,1,1
17535,1,3
22095,1,1
22095,1,1
22095,1,2
22095,1,1
22095,1,3
22096,1,2
26381,1,4
30707,1,1
34872,1,2
39281,1,1
43549,1,2
47900,1,3
47901,1,4
47901,1,1
52199,1,4
52200,1,1
52200,1,2
52200,1,4
52200,1,7
52200,1,6
52200,1,2
52200,1,3
52200,1,1
52200,1,1
52200,1,1
52200,1,2
52200,1,2
52200,1,6
52200,1,2
52200,1,2
52201,1,5
52201,1,3
52201,1,1
52201,1,4
52201,1,1
52201,1,11
52201,1,4
52201,1,2
52201,1,5
52201,1,1
52201,1,4
52201,1,1
52201,1,1
52201,1,1
52201,1,8
52201,1,5
52201,1,1
52201,1,3
52201,1,5
52202,1,4
52202,1,5
52202,1,1
52202,1,1
52202,1,1
52202,1,2
52202,1,2
52202,1,9
52202,1,1
52202,1,4
52202,1,2
52202,1,1
52202,1,2
52202,1,1
52202,1,9
52202,1,5
52203,1,5
52203,1,5
52203,1,3
52203,1,1
52203,1,4
52203,1,2
52203,1,4
52203,1,2
52204,1,4
52204,1,3
52204,1,10
52204,1,3
52204,1,1
52204,1,1
52204,1,4
52204,1,5
52204,1,1
52205,1,3
52205,1,1
52205,1,1
52205,1,1
52205,1,2
52205,1,7
52205,1,1
52205,1,3
52205,1,1
52205,1,2
52205,1,3
52206,1,1
52206,1,1
52206,1,2
52206,1,8
52206,1,1
52206,1,2
52206,1,4
52206,1,2
52206,1,2
52207,1,1
52207,1,1
52207,1,1
52207,1,7
52208,1,2
52208,1,3
52208,1,1
52208,1,2
52209,1,2
52209,1,2
52209,1,7
52209,1,1
52210,1,1
52210,1,2
52210,1,2
52210,1,3
52210,1,1
52210,1,1
52211,1,1
52211,1,4
52211,1,5
52211,1,5
52211,1,1
52211,1,1
52211,1,1
52212,1,3
52212,1,3
52212,1,8
52212,1,3
52212,1,1
56461,1,8
60872,1,1
65202,1,1
69763,1,1
69763,1,2
69763,1,1
69763,1,1
69763,1,1
69763,1,1
69763,1,1
69763,1,2
69764,1,4
69764,1,2
69764,1,1
69764,1,2
69764,1,2
69764,1,1
69764,1,1
69764,1,9
69764,1,2
69764,1,3
69764,1,1
69765,1,4
74321,1,2
78809,1,1
83020,1,1
87387,1,1
91741,1,3
96245,1,10
100480,1,3
100480,1,2
100480,1,3
100480,1,1
100480,1,1
104813,1,1
109110,1,1
113610,1,1
113610,1,2
118020,1,1
118020,1,2
118020,1,1
118020,1,2
118020,1,1
118020,1,1
118020,1,1
118021,1,2
122323,1,1
126625,1,2
130972,1,1
135312,1,6
139826,1,3
144185,1,1
148522,1,1
148522,1,1
148522,1,4
148522,1,2
148522,1,1
148523,1,1
148523,1,2
148523,1,1
148523,1,1
148523,1,1
148523,1,1
148523,1,1
148523,1,2
148523,1,1
148523,1,2
148523,1,6
148523,1,2
148524,1,3
148524,1,5
148524,1,2
152858,1,2
157282,1,2
161541,1,1
165940,1,2
170281,1,1
178977,1,4
183275,1,1
187639,1,1
192195,1,1
192195,1,1
192195,1,6
192195,1,1
192195,1,2
192195,1,4
192196,1,3
192196,1,1
192196,1,2
192196,1,1
192196,1,3
196614,1,5
196614,1,1
196614,1,1
196614,1,1
196614,1,2
196614,1,6
196614,1,1
196614,1,1
196614,1,1
196614,1,4
196614,1,3
196614,1,4
196614,1,1
196615,1,4
196615,1,1
196615,1,1
196615,1,2
196615,1,1
196615,1,1
196615,1,6
196615,1,1
196615,1,1
196615,1,1
196615,1,3
196615,1,8
196615,1,3
196615,1,3
196615,1,3
196615,1,4
196615,1,2
196615,1,3
196615,1,1
196616,1,4
196616,1,1
196616,1,5
196616,1,4
196616,1,6
196616,1,2
196616,1,1
196616,1,2
196616,1,1
196616,1,3
200929,1,1
200929,1,3
