"timeMillisSpent","score"
5,"-1hard/-1medium/-2147483647soft"
6,"-1hard/-1medium/-2147483647soft"
7,"-1hard/-1medium/-2147483647soft"
8,"-1hard/-1medium/-2147483647soft"
9,"-1hard/-1medium/-2147483647soft"
11,"-1hard/-1medium/-2147483647soft"
12,"-1hard/-1medium/-2147483647soft"
13,"-1hard/-1medium/-2147483647soft"
14,"-1hard/-1medium/-2147483647soft"
15,"-1hard/-1medium/-2147483647soft"
16,"-1hard/-1medium/-2147483647soft"
17,"-1hard/-1medium/-2147483647soft"
19,"-1hard/-1medium/-2147483647soft"
20,"-1hard/-1medium/-2147483647soft"
21,"-1hard/-1medium/-2147483647soft"
22,"-1hard/-1medium/-2147483647soft"
23,"-1hard/-1medium/-2147483647soft"
24,"-1hard/-1medium/-2147483647soft"
26,"-1hard/-1medium/-2147483647soft"
27,"-1hard/-1medium/-2147483647soft"
28,"-1hard/-1medium/-2147483647soft"
29,"-1hard/-1medium/-2147483647soft"
30,"-1hard/-1medium/-2147483647soft"
31,"-1hard/-1medium/-2147483647soft"
38,"-1hard/-1medium/-2147483647soft"
39,"-1hard/-1medium/-2147483647soft"
40,"-1hard/-1medium/-2147483647soft"
41,"-1hard/-1medium/-2147483647soft"
43,"-1hard/-1medium/-2147483647soft"
44,"-1hard/-1medium/-2147483647soft"
45,"-1hard/-1medium/-2147483647soft"
46,"-1hard/-1medium/-2147483647soft"
47,"-1hard/-1medium/-2147483647soft"
48,"-1hard/-1medium/-2147483647soft"
49,"-1hard/-1medium/-2147483647soft"
50,"-1hard/-1medium/-2147483647soft"
51,"-1hard/-1medium/-2147483647soft"
52,"-1hard/-1medium/-2147483647soft"
4575,"0hard/-1medium/-378soft"
8914,"0hard/-1medium/-378soft"
13215,"0hard/-1medium/-378soft"
13216,"-1hard/-1medium/-2147483647soft"
17828,"0hard/-1medium/-383soft"
17830,"-1hard/-1medium/-2147483647soft"
22135,"0hard/-3medium/-410soft"
26512,"0hard/-3medium/-407soft"
26515,"-1hard/-1medium/-2147483647soft"
26518,"-1hard/-1medium/-2147483647soft"
26520,"-1hard/-1medium/-2147483647soft"
26523,"-1hard/-1medium/-2147483647soft"
30945,"0hard/-1medium/-394soft"
35126,"0hard/-1medium/-394soft"
39727,"0hard/-1medium/-394soft"
39729,"-1hard/-1medium/-2147483647soft"
39732,"-1hard/-1medium/-2147483647soft"
39735,"-1hard/-1medium/-2147483647soft"
39738,"-1hard/-1medium/-2147483647soft"
39743,"-1hard/-1medium/-2147483647soft"
39745,"-1hard/-1medium/-2147483647soft"
39747,"-1hard/-1medium/-2147483647soft"
39748,"-1hard/-1medium/-2147483647soft"
39749,"-1hard/-1medium/-2147483647soft"
39750,"-1hard/-1medium/-2147483647soft"
39751,"-1hard/-1medium/-2147483647soft"
39752,"-1hard/-1medium/-2147483647soft"
39753,"-1hard/-1medium/-2147483647soft"
39754,"-1hard/-1medium/-2147483647soft"
39755,"-1hard/-1medium/-2147483647soft"
44003,"0hard/-4medium/-454soft"
48266,"0hard/-4medium/-464soft"
52590,"0hard/-4medium/-464soft"
57142,"0hard/-4medium/-455soft"
61667,"0hard/-4medium/-456soft"
66064,"0hard/-4medium/-456soft"
70403,"0hard/-3medium/-410soft"
74679,"0hard/-3medium/-400soft"
74680,"-1hard/0medium/-2147483647soft"
74681,"-1hard/0medium/-2147483647soft"
74682,"-1hard/0medium/-2147483647soft"
74683,"-1hard/0medium/-2147483647soft"
74684,"-1hard/0medium/-2147483647soft"
74685,"-1hard/0medium/-2147483647soft"
74686,"-1hard/0medium/-2147483647soft"
74686,"-1hard/0medium/-2147483647soft"
74687,"-1hard/0medium/-2147483647soft"
74688,"-1hard/-1medium/-2147483647soft"
74689,"-1hard/0medium/-2147483647soft"
74690,"-1hard/0medium/-2147483647soft"
74691,"-1hard/0medium/-2147483647soft"
74692,"-1hard/0medium/-2147483647soft"
79066,"0hard/-1medium/-371soft"
83338,"0hard/-1medium/-368soft"
87764,"0hard/-1medium/-368soft"
87766,"-1hard/-1medium/-2147483647soft"
87767,"-1hard/-1medium/-2147483647soft"
92089,"0hard/-1medium/-375soft"
92090,"-1hard/-1medium/-2147483647soft"
92091,"-1hard/-1medium/-2147483647soft"
92092,"-1hard/-1medium/-2147483647soft"
92093,"-1hard/-1medium/-2147483647soft"
92094,"-1hard/-1medium/-2147483647soft"
92095,"-1hard/-1medium/-2147483647soft"
92096,"-1hard/-1medium/-2147483647soft"
92097,"-1hard/-1medium/-2147483647soft"
92098,"-1hard/-1medium/-2147483647soft"
92100,"-1hard/-1medium/-2147483647soft"
92101,"-1hard/-1medium/-2147483647soft"
92102,"-1hard/-1medium/-2147483647soft"
92103,"-1hard/-1medium/-2147483647soft"
92104,"-1hard/-1medium/-2147483647soft"
92106,"-1hard/-1medium/-2147483647soft"
92107,"-1hard/-1medium/-2147483647soft"
92108,"-1hard/-1medium/-2147483647soft"
92109,"-1hard/-1medium/-2147483647soft"
92111,"-1hard/-1medium/-2147483647soft"
92112,"-1hard/-1medium/-2147483647soft"
92113,"-1hard/-1medium/-2147483647soft"
92114,"-1hard/-1medium/-2147483647soft"
92115,"-1hard/-1medium/-2147483647soft"
92117,"-1hard/-1medium/-2147483647soft"
92118,"-1hard/-1medium/-2147483647soft"
92119,"-1hard/-1medium/-2147483647soft"
92120,"-1hard/-1medium/-2147483647soft"
92121,"-1hard/-1medium/-2147483647soft"
92122,"-1hard/-1medium/-2147483647soft"
92124,"-1hard/-1medium/-2147483647soft"
92125,"-1hard/-1medium/-2147483647soft"
92126,"-1hard/-1medium/-2147483647soft"
92128,"-1hard/-1medium/-2147483647soft"
92130,"-1hard/-1medium/-2147483647soft"
92131,"-1hard/-1medium/-2147483647soft"
92132,"-1hard/-1medium/-2147483647soft"
92133,"-1hard/-1medium/-2147483647soft"
92135,"-1hard/-1medium/-2147483647soft"
92136,"-1hard/-1medium/-2147483647soft"
92137,"-1hard/-1medium/-2147483647soft"
92138,"-1hard/-1medium/-2147483647soft"
92139,"-1hard/-1medium/-2147483647soft"
92140,"-1hard/-1medium/-2147483647soft"
92142,"-1hard/-1medium/-2147483647soft"
92143,"-1hard/-1medium/-2147483647soft"
92144,"-1hard/-1medium/-2147483647soft"
92145,"-1hard/-1medium/-2147483647soft"
92146,"-1hard/-1medium/-2147483647soft"
92147,"-1hard/-1medium/-2147483647soft"
92148,"-1hard/-1medium/-2147483647soft"
92149,"-1hard/-1medium/-2147483647soft"
92151,"-1hard/-1medium/-2147483647soft"
