"timeMillisSpent","usedMemory","maxMemory"
4283,8600728,1834483712
8581,9247432,1834483712
12824,9247432,1834483712
17204,9894136,1834483712
21564,9894592,1834483712
26076,9895048,1834483712
30595,10534048,1834483712
35208,10534504,1834483712
39495,11181664,1834483712
43812,11184184,1834483712
48135,11830888,1834483712
52523,11830888,1834483712
56885,12477592,1834483712
61465,12478048,1834483712
65895,13125208,1834483712
70368,13125664,1834483712
74725,13772824,1834483712
79081,13773280,1834483712
83336,14422504,1834483712
87730,14422504,1834483712
91920,15061976,1834483712
96267,15061976,1834483712
100470,15717328,1834483712
100470,15717328,1834483712
104749,16356648,1834483712
109213,16357104,1834483712
113536,17004264,1834483712
117888,17004720,1834483712
122203,17653944,1834483712
126566,17653944,1834483712
126566,17653944,1834483712
130689,18296552,1834483712
130689,18296552,1834483712
135001,19573872,1834483712
135001,19573872,1834483712
139278,19574328,1834483712
143573,20221488,1834483712
147842,20221944,1834483712
152096,20869104,1834483712
156697,20869560,1834483712
161247,21518784,1834483712
165590,21518784,1834483712
169949,22161208,1834483712
174377,22161208,1834483712
178777,22816560,1834483712
178778,22816560,1834483712
183054,22817016,1834483712
187294,23464176,1834483712
187295,23464176,1834483712
191657,23464632,1834483712
195886,24103616,1834483712
200236,24106136,1834483712
204720,24744672,1834483712
204720,24744672,1834483712
209080,27304088,1834483712
213407,27304088,1834483712
217890,27943080,1834483712
217890,27943080,1834483712
222203,28582568,1834483712
226760,29221552,1834483712
226761,29221552,1834483712
231058,31784264,1834483712
231058,31784264,1834483712
235338,31784720,1834483712
239736,32433944,1834483712
239736,32433944,1834483712
244099,32433944,1834483712
244099,32433944,1834483712
248372,33076552,1834483712
248373,33076552,1834483712
252667,33715064,1834483712
252667,33715064,1834483712
256983,34996456,1834483712
256983,34996456,1834483712
261284,35635448,1834483712
265810,36282608,1834483712
270205,36283064,1834483712
274719,36946624,1834483712
283665,36949144,1834483712
287975,37383096,1834483712
287975,37383096,1834483712
292296,6458096,1834483712
296656,7086152,1834483712
300973,7086152,1834483712
305569,7086152,1834483712
309933,7714656,1834483712
309934,7714656,1834483712
314294,7715112,1834483712
318602,8343624,1834483712
318602,8343624,1834483712
322961,10864512,1834483712
327339,10864968,1834483712
327339,10864968,1834483712
331808,11503728,1834483712
336159,11503728,1834483712
340491,12139968,1834483712
344816,12139968,1834483712
349203,12768544,1834483712
353423,12769000,1834483712
357856,13405696,1834483712
362128,13406152,1834483712
366409,14042848,1834483712
370673,14045368,1834483712
374958,14681608,1834483712
379188,14681608,1834483712
383483,14681608,1834483712
387696,15310128,1834483712
392102,15310584,1834483712
396655,15947280,1834483712
401130,15947736,1834483712
405422,16584432,1834483712
405422,16584432,1834483712
409784,16586952,1834483712
414202,17223192,1834483712
418464,17223192,1834483712
422766,17859432,1834483712
427310,17859888,1834483712
431730,18488704,1834483712
436059,18489160,1834483712
436059,18489160,1834483712
440437,19125856,1834483712
444712,19126312,1834483712
444712,19126312,1834483712
448971,24158744,1834483712
453470,24794984,1834483712
457823,24794984,1834483712
457824,24794984,1834483712
462148,26687344,1834483712
466704,26687800,1834483712
471068,27316592,1834483712
475407,27317048,1834483712
479701,27946072,1834483712
483823,27946528,1834483712
488089,28577104,1834483712
492538,28577104,1834483712
496791,29213344,1834483712
501159,29213344,1834483712
505381,29850040,1834483712
509659,29850496,1834483712
513939,30495384,1834483712
518262,30495840,1834483712
522777,31132536,1834483712
522777,31132536,1834483712
527183,31771296,1834483712
531695,31771296,1834483712
536068,32399648,1834483712
549314,33036800,1834483712
553644,33665376,1834483712
558164,33665832,1834483712
575894,34941288,1834483712
580161,35577528,1834483712
584463,35577984,1834483712
588705,35578440,1834483712
593049,36211040,1834483712
597607,36211496,1834483712
601992,36840000,1834483712
