"timeMillisSpent","usedMemory","maxMemory"
4293,24947912,1834483712
8831,26052704,1834483712
13196,27157496,1834483712
13198,28254120,1834483712
17401,29358896,1834483712
17402,29907208,1834483712
21813,31556488,1834483712
26220,32654064,1834483712
26222,33750688,1834483712
30598,10180928,1834483712
35159,11810552,1834483712
39421,12887856,1834483712
39422,13963376,1834483712
43750,29020640,1834483712
48001,30096616,1834483712
52356,31710640,1834483712
56846,32786632,1834483712
61124,8050184,1834483712
65530,9115320,1834483712
69758,10169960,1834483712
74310,11224376,1834483712
74312,12278824,1834483712
78613,25471536,1834483712
82992,26526440,1834483712
87337,28116712,1834483712
87338,28643936,1834483712
91616,30753248,1834483712
91619,31807656,1834483712
96063,38238400,1834483712
96064,39545888,1834483712
100475,17238384,1834483712
104819,17881584,1834483712
109042,19167968,1834483712
109044,20454368,1834483712
113656,20309088,1834483712
118142,21574400,1834483712
122481,22847880,1834483712
126970,24113496,1834483712
131497,25395624,1834483712
135766,26028736,1834483712
140035,27294488,1834483712
144394,28560248,1834483712
148749,29826000,1834483712
153130,31093832,1834483712
157676,32359144,1834483712
157679,32991800,1834483712
161999,8871032,1834483712
166247,10094168,1834483712
174758,11325472,1834483712
179120,12549040,1834483712
183292,13780784,1834483712
183293,14392352,1834483712
187821,17450608,1834483712
192382,18674160,1834483712
196741,19905920,1834483712
201309,21139744,1834483712
201311,21751312,1834483712
205654,32164232,1834483712
210022,32775800,1834483712
214299,33999592,1834483712
218644,35223144,1834483712
223219,36446720,1834483712
227517,37670296,1834483712
227519,8344736,1834483712
231906,33659784,1834483712
236184,34524392,1834483712
240724,35388984,1834483712
245075,37126368,1834483712
249427,37991416,1834483712
253761,39729256,1834483712
257997,40594320,1834483712
262338,41459384,1834483712
266649,43198664,1834483712
271105,44065792,1834483712
275496,44930384,1834483712
275500,45794976,1834483712
279647,9590160,1834483712
283990,10454752,1834483712
283991,11319360,1834483712
288417,19108920,1834483712
292724,19973512,1834483712
297060,20838560,1834483712
301336,22576400,1834483712
305626,23441464,1834483712
305628,24306072,1834483712
310065,43335920,1834483712
314357,44200960,1834483712
318686,45068088,1834483712
323038,46797288,1834483712
327388,47661872,1834483712
331876,49391088,1834483712
336155,50256136,1834483712
340449,8712728,1834483712
349027,10400032,1834483712
353441,11243552,1834483712
357794,12939200,1834483712
362295,13783160,1834483712
366622,14627120,1834483712
371073,16314696,1834483712
375362,17158672,1834483712
379623,18856400,1834483712
383843,19699920,1834483712
388179,20543440,1834483712
392576,22238648,1834483712
396886,23082624,1834483712
401195,24778288,1834483712
405446,25622264,1834483712
409832,26466216,1834483712
414154,28157760,1834483712
418462,29003776,1834483712
423018,30690776,1834483712
427346,31534280,1834483712
431650,33229488,1834483712
436096,34073456,1834483712
440450,35769120,1834483712
444779,36613096,1834483712
449081,37457048,1834483712
453372,39152688,1834483712
457891,39998712,1834483712
462278,41693904,1834483712
466579,42537424,1834483712
470970,44232632,1834483712
475320,45076592,1834483712
479713,45920568,1834483712
484092,47608360,1834483712
488486,48452336,1834483712
493081,8853672,1834483712
493084,9676088,1834483712
497387,17080416,1834483712
501842,18733432,1834483712
506158,19555840,1834483712
506159,20378248,1834483712
510306,22023080,1834483712
514729,22845968,1834483712
519184,24499456,1834483712
519185,25321872,1834483712
523503,26144760,1834483712
523504,26967192,1834483712
527814,8726088,1834483712
532144,9529936,1834483712
532148,10331280,1834483712
536547,12735256,1834483712
540962,14346112,1834483712
545204,15147440,1834483712
549554,16775152,1834483712
549555,17576496,1834483712
554015,8704768,1834483712
558554,9487520,1834483712
562907,11048016,1834483712
567215,11828272,1834483712
571508,13396952,1834483712
575798,14177664,1834483712
580198,15738616,1834483712
584482,17299552,1834483712
589061,18080248,1834483712
593448,19649368,1834483712
597800,20432144,1834483712
602366,21992656,1834483712
