"timeMillisSpent","score"
4,"-1hard/-1medium/-2147483647soft"
4,"-1hard/-1medium/-2147483647soft"
4,"-1hard/-1medium/-2147483647soft"
4,"-1hard/-1medium/-2147483647soft"
4,"-1hard/-1medium/-2147483647soft"
4,"-1hard/-1medium/-2147483647soft"
4,"-1hard/-1medium/-2147483647soft"
4,"-1hard/-1medium/-2147483647soft"
4,"-1hard/-1medium/-2147483647soft"
4,"-1hard/-1medium/-2147483647soft"
4,"-1hard/-1medium/-2147483647soft"
4,"-1hard/-1medium/-2147483647soft"
4,"-1hard/-1medium/-2147483647soft"
4495,"0hard/-1medium/-382soft"
8919,"0hard/-1medium/-394soft"
13317,"0hard/-1medium/-382soft"
17686,"0hard/-1medium/-394soft"
22090,"0hard/-1medium/-378soft"
26437,"0hard/-1medium/-386soft"
26437,"-1hard/-1medium/-2147483647soft"
26437,"-1hard/-1medium/-2147483647soft"
26437,"-1hard/-1medium/-2147483647soft"
30988,"0hard/-1medium/-386soft"
35549,"0hard/0medium/-340soft"
40068,"0hard/0medium/-340soft"
44389,"0hard/0medium/-330soft"
44389,"-1hard/0medium/-2147483647soft"
44389,"-1hard/0medium/-2147483647soft"
44389,"-1hard/0medium/-2147483647soft"
44389,"-1hard/0medium/-2147483647soft"
48697,"0hard/-1medium/-378soft"
53226,"0hard/-3medium/-357soft"
57620,"0hard/-3medium/-362soft"
61932,"0hard/-3medium/-362soft"
66191,"0hard/-3medium/-362soft"
70423,"0hard/-3medium/-354soft"
74807,"0hard/-4medium/-428soft"
79334,"0hard/-4medium/-428soft"
79335,"-1hard/-1medium/-2147483647soft"
79335,"-1hard/-1medium/-2147483647soft"
79335,"-1hard/-1medium/-2147483647soft"
83683,"0hard/-1medium/-378soft"
83683,"-1hard/-1medium/-2147483647soft"
83683,"-1hard/-1medium/-2147483647soft"
83683,"-1hard/-1medium/-2147483647soft"
83683,"-1hard/-1medium/-2147483647soft"
83684,"-1hard/-1medium/-2147483647soft"
83684,"-1hard/-1medium/-2147483647soft"
83684,"-1hard/-1medium/-2147483647soft"
87904,"0hard/-1medium/-372soft"
92318,"0hard/-1medium/-372soft"
96829,"0hard/-1medium/-372soft"
101170,"0hard/-2medium/-372soft"
105533,"0hard/-1medium/-372soft"
105533,"-1hard/-1medium/-2147483647soft"
105533,"-1hard/-1medium/-2147483647soft"
109860,"0hard/-2medium/-397soft"
114128,"0hard/-1medium/-360soft"
114128,"-1hard/-1medium/-2147483647soft"
114128,"-1hard/-1medium/-2147483647soft"
114128,"-1hard/0medium/-2147483647soft"
114128,"-1hard/-1medium/-2147483647soft"
