"timeMillisSpent","calculateCountPerSecond"
4384,34
8607,0
13074,0
17323,0
21544,0
26046,0
30342,0
34887,0
39298,0
43846,0
48117,0
52388,0
56780,0
56780,2000
61054,0
65427,0
69734,0
74076,0
78356,0
82700,0
87247,0
87247,1000
91676,0
91676,1000
96100,1
96100,1000
100451,14
104666,0
109052,0
113360,0
117714,0
117714,4000
122323,2
126539,0
130897,0
135296,0
135296,2000
139723,0
144067,0
144067,1000
148620,1
148620,1000
153153,0
157578,0
161873,0
161873,1000
166422,0
166422,3000
170627,18
170627,1000
174855,25
179296,0
183790,0
188229,0
192516,0
196998,0
196998,4000
201538,0
201538,1000
205939,7
205939,1000
210318,143
210319,2000
214712,12
218942,0
223371,0
227876,0
227876,1000
232413,9
232413,3000
236734,7
240939,0
245376,0
249909,0
254112,0
254112,1000
258450,24
262855,1
267062,0
271387,1
275573,0
280032,0
284344,0
288859,0
293266,0
297552,0
301818,0
301818,2000
306199,4
310704,0
310704,1000
315264,1
319667,1
324068,0
328474,0
332826,0
332826,1000
337337,1
337337,3000
341660,46
346047,0
350362,0
350362,6000
354705,5
359022,0
363526,0
367832,0
372108,1
376414,0
380981,0
385257,1
389475,0
389476,1000
393893,9
398251,0
402552,0
407056,0
411458,0
411458,1000
415802,148
420068,0
420068,1000
424311,6
424311,2000
428820,4
428821,1000
433061,2
437339,0
441751,0
445976,0
450391,0
454766,0
459273,0
463572,0
468127,0
472608,0
476994,0
481531,0
486095,0
490630,0
494994,0
499377,1
499378,2000
503733,0
503733,1000
508255,9
512472,0
512472,2000
516736,3
521267,0
525658,0
529885,0
534403,1
538749,1
542980,0
547472,0
551850,0
556112,0
560488,0
564719,0
569223,0
573427,1
577599,2
577599,1000
582018,3
582018,3000
586422,2
586422,2000
590816,121
595179,0
599520,0
603979,0
