"timeMillisSpent","score"
5,"-1hard/-1medium/-2147483647soft"
4295,"0hard/-1medium/-377soft"
8703,"0hard/-1medium/-377soft"
13144,"0hard/-1medium/-377soft"
17520,"0hard/-3medium/-373soft"
21780,"0hard/-4medium/-448soft"
26151,"0hard/-4medium/-448soft"
30526,"0hard/-4medium/-448soft"
34849,"0hard/-4medium/-448soft"
39208,"0hard/-7medium/-522soft"
43625,"0hard/-4medium/-448soft"
47913,"0hard/-4medium/-448soft"
52268,"0hard/-1medium/-401soft"
56534,"0hard/-1medium/-371soft"
60892,"0hard/-1medium/-371soft"
65390,"0hard/-1medium/-371soft"
69772,"0hard/-3medium/-390soft"
69772,"-1hard/-1medium/-2147483647soft"
69772,"-1hard/-1medium/-2147483647soft"
69772,"-1hard/-1medium/-2147483647soft"
69772,"-1hard/-1medium/-2147483647soft"
69772,"-1hard/-1medium/-2147483647soft"
69773,"-1hard/-1medium/-2147483647soft"
69773,"-1hard/-1medium/-2147483647soft"
69773,"-1hard/-1medium/-2147483647soft"
69773,"-1hard/-1medium/-2147483647soft"
69773,"-1hard/-1medium/-2147483647soft"
69773,"-1hard/-1medium/-2147483647soft"
69773,"-1hard/-1medium/-2147483647soft"
69773,"-1hard/-1medium/-2147483647soft"
69773,"-1hard/-1medium/-2147483647soft"
69773,"-1hard/0medium/-2147483647soft"
69773,"-1hard/-1medium/-2147483647soft"
69773,"-1hard/-1medium/-2147483647soft"
69773,"-1hard/-1medium/-2147483647soft"
69773,"-1hard/-1medium/-2147483647soft"
69774,"-1hard/-1medium/-2147483647soft"
69774,"-1hard/-1medium/-2147483647soft"
69774,"-1hard/-1medium/-2147483647soft"
69774,"-1hard/-1medium/-2147483647soft"
69774,"-1hard/-1medium/-2147483647soft"
69774,"-1hard/-1medium/-2147483647soft"
69774,"-1hard/-1medium/-2147483647soft"
69774,"-1hard/-1medium/-2147483647soft"
69774,"-1hard/-1medium/-2147483647soft"
69775,"-1hard/-1medium/-2147483647soft"
69775,"-1hard/-1medium/-2147483647soft"
69775,"-1hard/-1medium/-2147483647soft"
69775,"-1hard/-1medium/-2147483647soft"
69775,"-1hard/-1medium/-2147483647soft"
69775,"-1hard/-1medium/-2147483647soft"
