"timeMillisSpent","acceptedMoveCount","selectedMoveCount"
3,1,9
3,1,17
3,1,1
3,1,2
3,1,9
3,1,1
3,1,9
3,1,1
3,1,3
3,1,3
4,1,5
4,1,1
4,1,2
4,1,10
4,1,2
4,1,1
4,1,3
4,1,5
4,1,5
4,1,1
4,1,6
4,1,1
4,1,3
4,1,2
5,1,9
5,1,3
5,1,1
5,1,3
5,1,4
5,1,1
5,1,4
5,1,4
5,1,10
5,1,4
5,1,1
4264,1,1
8546,1,4
13112,1,2
17389,1,1
21682,1,2
25973,1,1
30331,1,4
34737,1,1
39055,1,1
43310,1,3
47636,1,4
51915,1,4
56239,1,1
60778,1,3
65264,1,3
69822,1,2
74232,1,4
78489,1,4
82762,1,1
87150,1,5
91521,1,1
96030,1,1
100389,1,1
100389,1,1
100389,1,1
100389,1,3
100389,1,1
100389,1,11
100389,1,1
100389,1,8
100389,1,2
100389,1,1
100389,1,2
100390,1,6
104671,1,1
109197,1,1
113667,1,2
118087,1,1
122455,1,1
127015,1,1
127015,1,2
127015,1,2
127015,1,1
127015,1,4
127015,1,1
127015,1,1
127016,1,1
127016,1,8
127016,1,1
127016,1,1
131351,1,5
131351,1,2
131351,1,3
131352,1,3
131352,1,2
131352,1,7
131352,1,1
131353,1,4
131353,1,1
131353,1,3
131353,1,1
131353,1,3
131354,1,4
131354,1,3
135734,1,2
135734,1,3
135735,1,2
135735,1,1
135735,1,2
140271,1,2
144523,1,2
149094,1,2
153487,1,2
157835,1,1
162241,1,1
166655,1,2
171073,1,2
175613,1,2
180139,1,2
180139,1,1
180139,1,4
180139,1,3
180139,1,3
180139,1,1
184537,1,1
189083,1,1
189083,1,2
189083,1,1
189083,1,1
189083,1,1
193492,1,2
197725,1,1
202231,1,2
206421,1,4
206421,1,5
206421,1,3
206421,1,1
206421,1,2
206421,1,5
206421,1,3
206421,1,1
206421,1,4
206422,1,2
206422,1,1
206422,1,2
206422,1,3
206422,1,2
206422,1,1
206422,1,3
206422,1,2
206422,1,2
206422,1,3
206422,1,1
206422,1,3
206422,1,1
206423,1,2
206423,1,1
206423,1,1
206423,1,1
206423,1,1
206423,1,1
206423,1,1
206423,1,4
206423,1,1
206423,1,1
206423,1,6
206423,1,6
206423,1,1
206423,1,3
206424,1,2
206424,1,1
206424,1,1
206424,1,3
206424,1,1
206424,1,1
206424,1,3
206424,1,2
206424,1,3
206424,1,1
206424,1,5
206424,1,8
206425,1,3
206425,1,1
206425,1,2
206425,1,4
206425,1,1
206425,1,5
206425,1,2
206425,1,1
206425,1,2
206425,1,1
206425,1,1
206425,1,1
206425,1,1
210860,1,3
215408,1,2
219797,1,2
219797,1,1
219798,1,2
219798,1,2
219798,1,2
219798,1,1
219798,1,3
219798,1,3
219798,1,1
219798,1,2
219798,1,1
219798,1,2
219798,1,2
219798,1,2
219798,1,1
219798,1,1
219798,1,1
219798,1,1
219798,1,6
224022,1,2
228276,1,3
228276,1,2
228276,1,3
228276,1,2
228277,1,2
228277,1,3
228277,1,3
228277,1,1
228277,1,2
228277,1,6
228277,1,2
228277,1,2
228277,1,2
228277,1,2
228277,1,3
228278,1,4
228278,1,4
228278,1,2
228278,1,1
228278,1,1
228278,1,2
228278,1,3
228278,1,11
228278,1,6
228278,1,1
228279,1,1
228279,1,7
228279,1,1
228279,1,3
228279,1,2
228279,1,1
228279,1,1
228279,1,1
228279,1,4
228280,1,11
228280,1,1
228280,1,9
228280,1,1
228280,1,2
228280,1,2
228280,1,1
228280,1,2
228280,1,1
228280,1,5
228280,1,3
228281,1,2
232808,1,4
232808,1,1
232808,1,1
237191,1,1
241567,1,3
241568,1,1
241568,1,4
241568,1,4
241568,1,4
245910,1,6
245910,1,1
245910,1,1
245910,1,1
245910,1,3
245910,1,2
245910,1,2
245910,1,10
250307,1,5
250307,1,2
250307,1,2
254897,1,1
254898,1,3
254898,1,1
254898,1,3
254898,1,1
254898,1,4
254899,1,5
254899,1,2
254899,1,1
254899,1,2
254899,1,7
254899,1,4
254900,1,1
254900,1,2
254900,1,3
254900,1,2
254900,1,4
254900,1,2
254900,1,3
254901,1,1
259259,1,2
259259,1,2
259259,1,1
259260,1,10
259260,1,2
259260,1,1
259260,1,5
259260,1,1
259260,1,1
259260,1,1
259260,1,1
259260,1,2
259260,1,2
259260,1,6
259260,1,1
259260,1,2
259260,1,1
259260,1,3
263682,1,1
268220,1,1
272581,1,2
276966,1,1
285586,1,4
290081,1,2
290081,1,1
290082,1,2
290082,1,1
290082,1,2
290082,1,2
294633,1,2
299133,1,4
303509,1,2
307761,1,3
312171,1,1
312171,1,1
312171,1,1
316578,1,1
320969,1,1
320969,1,1
320969,1,1
320969,1,3
320970,1,2
320970,1,3
320970,1,1
320970,1,2
320970,1,2
320970,1,2
320970,1,2
320970,1,2
320970,1,1
320970,1,2
320970,1,1
320970,1,1
320971,1,2
320971,1,1
320971,1,7
320971,1,2
320971,1,4
320971,1,1
320971,1,1
320971,1,2
320971,1,6
320971,1,2
320971,1,4
320971,1,1
320971,1,3
320971,1,2
320972,1,3
320972,1,3
320972,1,1
320972,1,1
320972,1,4
320972,1,10
320972,1,1
320972,1,2
320972,1,5
320972,1,6
320972,1,4
320973,1,4
320973,1,7
320973,1,1
320973,1,2
320973,1,2
320973,1,4
320973,1,1
325343,1,1
329838,1,2
329838,1,2
329838,1,1
329838,1,2
329838,1,1
329839,1,2
334081,1,5
338659,1,5
343123,1,5
347298,1,1
351693,1,1
356047,1,2
360372,1,1
364764,1,2
369197,1,1
373600,1,1
378122,1,1
382648,1,1
386952,1,1
391173,1,1
395686,1,1
399955,1,1
404472,1,1
408751,1,1
408752,1,1
408752,1,1
408752,1,3
413231,1,2
417551,1,1
422105,1,1
426468,1,4
430756,1,5
435026,1,1
439375,1,1
439375,1,1
443893,1,2
448221,1,1
448221,1,1
448221,1,1
448221,1,1
448221,1,2
448222,1,2
448223,1,23
448223,1,4
448223,1,1
448223,1,5
448224,1,3
448224,1,4
448224,1,5
448224,1,4
448224,1,2
448224,1,2
448225,1,2
448225,1,1
448225,1,2
448225,1,1
448225,1,2
448225,1,2
448225,1,2
448225,1,2
448226,1,2
448226,1,1
448226,1,2
448226,1,3
448226,1,4
448226,1,2
448226,1,2
448227,1,2
448227,1,1
448227,1,1
448227,1,4
448227,1,2
448228,1,3
448228,1,2
448228,1,2
448228,1,10
448229,1,3
448229,1,1
448229,1,1
448229,1,1
448229,1,4
448230,1,2
448230,1,1
448230,1,1
448230,1,4
448230,1,1
448230,1,1
448230,1,3
448231,1,1
448231,1,2
448231,1,3
448231,1,1
448231,1,6
448231,1,2
448231,1,1
448231,1,2
448231,1,1
448231,1,1
448232,1,1
448232,1,4
448232,1,1
448232,1,6
448232,1,1
448232,1,4
448232,1,4
448232,1,1
448233,1,9
448233,1,1
448233,1,5
448233,1,3
448233,1,1
448233,1,6
448233,1,1
448233,1,2
448233,1,3
448233,1,3
448233,1,1
448234,1,2
448234,1,3
448234,1,3
448234,1,2
448234,1,9
448234,1,3
448234,1,5
448235,1,14
448235,1,2
448235,1,6
448235,1,1
448235,1,3
448235,1,1
448235,1,1
448235,1,1
448235,1,3
448235,1,5
448235,1,1
448236,1,11
448236,1,1
448236,1,1
448236,1,2
448236,1,1
448236,1,1
448236,1,7
448236,1,1
448236,1,7
448236,1,2
448236,1,2
452617,1,2
456918,1,1
461248,1,1
461249,1,1
461249,1,6
461249,1,2
461249,1,6
461249,1,1
461249,1,1
461250,1,9
461250,1,8
461250,1,3
461250,1,3
461250,1,1
461250,1,5
461251,1,6
461251,1,1
461251,1,2
461251,1,3
461251,1,1
461251,1,1
461251,1,1
461251,1,1
461251,1,4
461252,1,1
461252,1,2
461252,1,7
461252,1,4
461252,1,2
461252,1,5
461252,1,1
461252,1,2
461253,1,3
461253,1,7
465750,1,2
470005,1,1
474331,1,1
478689,1,7
483043,1,9
487317,1,1
491479,1,1
495658,1,1
500201,1,2
504518,1,3
508903,1,2
513450,1,2
517687,1,2
522190,1,5
526497,1,1
526497,1,3
526498,1,2
526498,1,1
526498,1,1
526498,1,6
526498,1,4
526498,1,1
526498,1,1
526498,1,3
526498,1,1
526498,1,6
530703,1,1
534882,1,8
539281,1,4
552045,1,9
556400,1,2
560686,1,1
578035,1,7
582341,1,2
586753,1,2
591149,1,2
595741,1,1
600173,1,2
