"timeMillisSpent","score"
9,"-1hard/-2147483647medium/-1soft"
9,"-1hard/-2147483647medium/-1soft"
9,"-1hard/-2147483647medium/-1soft"
10,"-1hard/-2147483647medium/-1soft"
10,"-1hard/-2147483647medium/-1soft"
10,"-1hard/-2147483647medium/-1soft"
11,"-1hard/-2147483647medium/-1soft"
11,"-1hard/-2147483647medium/-1soft"
11,"-1hard/-2147483647medium/-1soft"
12,"-1hard/-2147483647medium/-1soft"
12,"-1hard/-2147483647medium/-1soft"
13,"-1hard/-2147483647medium/-1soft"
13,"-1hard/-2147483647medium/-1soft"
13,"-1hard/-2147483647medium/-1soft"
14,"-1hard/-2147483647medium/-1soft"
14,"-1hard/-2147483647medium/-1soft"
14,"-1hard/-2147483647medium/-1soft"
15,"-1hard/-2147483647medium/-1soft"
15,"-1hard/-2147483647medium/-1soft"
15,"-1hard/-2147483647medium/-1soft"
15,"-1hard/-2147483647medium/-1soft"
16,"-1hard/-2147483647medium/-1soft"
16,"-1hard/-2147483647medium/-1soft"
16,"-1hard/-2147483647medium/-1soft"
4333,"0hard/-416medium/-1soft"
8875,"0hard/-416medium/-1soft"
13199,"0hard/-485medium/-4soft"
17486,"0hard/-420medium/-1soft"
21798,"0hard/-393medium/-3soft"
26051,"0hard/-459medium/-4soft"
30301,"0hard/-459medium/-4soft"
34769,"0hard/-466medium/-4soft"
39128,"0hard/-466medium/-4soft"
43445,"0hard/-466medium/-4soft"
47936,"0hard/-466medium/-4soft"
52277,"0hard/-397medium/-1soft"
56657,"0hard/-416medium/-1soft"
56658,"-1hard/-2147483647medium/-1soft"
60922,"0hard/-411medium/-1soft"
65281,"0hard/-411medium/-1soft"
69473,"0hard/-409medium/-1soft"
73739,"0hard/-397medium/-1soft"
78179,"0hard/-399medium/-2soft"
82304,"0hard/-470medium/-4soft"
86599,"0hard/-470medium/-4soft"
86600,"-1hard/-2147483647medium/-1soft"
91118,"0hard/-400medium/-1soft"
91118,"-1hard/-2147483647medium/-1soft"
91119,"-1hard/-2147483647medium/-1soft"
95475,"0hard/-405medium/-1soft"
95475,"-1hard/-2147483647medium/0soft"
95475,"-1hard/-2147483647medium/0soft"
95476,"-1hard/-2147483647medium/-1soft"
95476,"-1hard/-2147483647medium/-1soft"
95476,"-1hard/-2147483647medium/-1soft"
95476,"-1hard/-2147483647medium/-1soft"
95477,"-1hard/-2147483647medium/-1soft"
95477,"-1hard/-2147483647medium/-1soft"
95477,"-1hard/-2147483647medium/-1soft"
95478,"-1hard/-2147483647medium/-1soft"
95478,"-1hard/-2147483647medium/-1soft"
95478,"-1hard/-2147483647medium/-1soft"
95479,"-1hard/-2147483647medium/-1soft"
95479,"-1hard/-2147483647medium/-1soft"
95479,"-1hard/-2147483647medium/-1soft"
95480,"-1hard/-2147483647medium/-1soft"
