"timeMillisSpent","usedMemory","maxMemory"
4540,8342792,1834483712
8889,8342792,1834483712
13153,9085904,1834483712
17384,9085904,1834483712
21799,9833080,1834483712
26177,9833536,1834483712
30486,9833992,1834483712
34854,10585448,1834483712
39317,10585904,1834483712
43504,11339424,1834483712
48026,11339424,1834483712
48026,11339424,1834483712
52583,30676768,1834483712
56956,31435960,1834483712
61454,31436416,1834483712
65767,31436872,1834483712
69942,32180456,1834483712
74123,32180912,1834483712
78627,32948768,1834483712
82943,32951288,1834483712
87322,32951288,1834483712
91521,33702288,1834483712
96020,33702288,1834483712
100569,34470144,1834483712
104736,34470600,1834483712
104737,34470600,1834483712
109096,35214560,1834483712
113291,35958152,1834483712
117529,35958608,1834483712
117529,35958608,1834483712
121977,36703968,1834483712
126357,37454968,1834483712
130893,37454968,1834483712
130893,37454968,1834483712
135194,37454968,1834483712
139692,38206424,1834483712
144030,38206880,1834483712
148279,38958336,1834483712
152609,38958792,1834483712
156955,38959248,1834483712
161297,39712768,1834483712
165619,39712768,1834483712
170070,40356784,1834483712
174430,40356784,1834483712
178921,4324192,1834483712
183211,4326712,1834483712
187524,4326712,1834483712
187524,4326712,1834483712
192034,5059064,1834483712
196573,5799600,1834483712
200702,5800056,1834483712
204903,5800512,1834483712
209046,6534160,1834483712
209046,6534160,1834483712
213406,6534616,1834483712
217675,7267464,1834483712
222045,7269984,1834483712
226317,8010520,1834483712
230700,8010520,1834483712
234992,8751056,1834483712
239312,8751512,1834483712
243888,8751968,1834483712
248353,9486488,1834483712
252849,9486944,1834483712
252849,9486944,1834483712
257157,10219752,1834483712
261624,10222272,1834483712
266087,10954960,1834483712
270331,10954960,1834483712
274760,10954960,1834483712
279245,11687784,1834483712
283479,11688240,1834483712
287769,12429232,1834483712
291987,12429688,1834483712
296494,13187080,1834483712
300993,13189600,1834483712
305265,13189600,1834483712
309533,13930136,1834483712
313867,13930136,1834483712
318214,14671128,1834483712
322615,14671584,1834483712
326956,14672040,1834483712
326957,14672040,1834483712
331340,16137232,1834483712
331341,16137232,1834483712
335618,16870432,1834483712
339958,17613488,1834483712
344258,17613488,1834483712
344258,17613488,1834483712
348605,19818736,1834483712
352929,19818736,1834483712
361916,20561568,1834483712
366466,20562024,1834483712
370735,21294856,1834483712
374943,21295312,1834483712
379459,22039752,1834483712
383927,22039752,1834483712
388412,22039752,1834483712
392770,22776192,1834483712
397091,22776648,1834483712
401341,23509776,1834483712
405572,23510232,1834483712
409883,24251224,1834483712
414177,24251680,1834483712
418564,24254200,1834483712
422765,24994736,1834483712
422765,24994736,1834483712
427104,24994736,1834483712
431462,25727080,1834483712
431463,25727080,1834483712
435780,26468072,1834483712
440133,26468528,1834483712
444500,27209520,1834483712
448844,27209976,1834483712
453150,27210432,1834483712
457537,27953488,1834483712
461742,27953488,1834483712
465988,28694024,1834483712
470200,28694024,1834483712
474605,28694480,1834483712
478879,29435472,1834483712
483397,29435928,1834483712
487913,30176920,1834483712
496712,30179896,1834483712
501064,30920432,1834483712
505554,30920432,1834483712
509793,31660968,1834483712
518846,32402416,1834483712
523167,32402872,1834483712
527519,32403328,1834483712
531720,33144320,1834483712
536204,33146840,1834483712
540579,33903776,1834483712
545070,33903776,1834483712
549394,33903776,1834483712
553724,34644768,1834483712
558048,34645224,1834483712
562132,35386216,1834483712
566407,35386672,1834483712
570897,35387128,1834483712
575094,36130184,1834483712
579468,36130184,1834483712
583811,36870720,1834483712
588142,36870720,1834483712
596564,37612168,1834483712
601028,37612624,1834483712
