"timeMillisSpent","acceptedMoveCount","selectedMoveCount"
7,1,6
7,1,3
7,1,1
7,1,2
7,1,1
7,1,4
7,1,3
7,1,1
8,1,8
8,1,4
8,1,12
8,1,3
8,1,1
8,1,1
8,1,8
8,1,3
9,1,2
9,1,2
9,1,2
9,1,1
9,1,1
10,1,1
10,1,3
10,1,2
10,1,4
10,1,2
10,1,3
10,1,2
10,1,2
10,1,4
10,1,4
11,1,1
11,1,1
11,1,1
11,1,2
11,1,1
11,1,1
11,1,2
11,1,1
11,1,1
11,1,1
11,1,1
11,1,1
12,1,1
12,1,3
12,1,2
12,1,2
12,1,2
12,1,1
12,1,3
12,1,1
12,1,1
12,1,11
13,1,1
13,1,1
13,1,1
13,1,3
13,1,1
13,1,4
13,1,1
13,1,1
13,1,2
13,1,1
14,1,7
14,1,1
14,1,1
14,1,7
14,1,1
14,1,3
14,1,1
14,1,1
14,1,7
14,1,1
15,1,1
15,1,8
15,1,7
15,1,3
15,1,2
15,1,9
15,1,4
15,1,1
16,1,2
16,1,1
16,1,3
16,1,1
4540,1,1
8889,1,3
13153,1,4
17384,1,2
21799,1,1
26177,1,2
30486,1,3
34854,1,1
39317,1,2
43504,1,2
48026,1,2
48026,1,5
48027,1,2
48027,1,5
48027,1,7
48027,1,3
48027,1,2
48027,1,4
48028,1,5
48028,1,1
48028,1,2
48028,1,2
48028,1,2
48028,1,2
48028,1,1
48029,1,1
48029,1,2
48029,1,1
48029,1,1
48029,1,7
48030,1,6
48030,1,1
48030,1,2
48030,1,1
48030,1,1
48030,1,1
48030,1,2
48031,1,5
48031,1,8
48031,1,1
48031,1,8
48031,1,4
48031,1,1
48032,1,5
48032,1,1
48032,1,1
48032,1,2
48032,1,1
48032,1,1
48032,1,1
48033,1,2
48033,1,1
48033,1,4
48033,1,2
48033,1,3
48033,1,2
48033,1,1
48034,1,1
48034,1,1
48034,1,3
48034,1,2
48034,1,1
48034,1,1
48034,1,2
48035,1,1
48035,1,2
48035,1,1
48035,1,6
48035,1,4
48035,1,1
48035,1,1
48036,1,2
48036,1,1
48036,1,2
48036,1,2
48036,1,2
48036,1,2
48036,1,1
48037,1,1
48037,1,2
48037,1,2
48037,1,4
48037,1,1
48037,1,7
48038,1,3
48038,1,8
48038,1,2
48038,1,2
48038,1,2
48038,1,2
48039,1,5
48039,1,2
48039,1,1
48039,1,1
48039,1,1
48039,1,1
48039,1,2
48040,1,2
48040,1,2
48040,1,1
48040,1,5
48040,1,2
48040,1,1
48040,1,2
48041,1,1
48041,1,2
48041,1,5
48041,1,2
48041,1,2
48041,1,4
48041,1,1
48041,1,1
48041,1,1
48041,1,1
48041,1,1
48042,1,2
48042,1,2
48042,1,3
48042,1,2
48042,1,3
48042,1,2
48042,1,1
48042,1,7
48042,1,4
48043,1,5
48043,1,3
48043,1,2
48043,1,3
48043,1,2
48043,1,3
48043,1,3
48043,1,4
48043,1,4
48043,1,1
48044,1,1
48044,1,3
48044,1,7
48044,1,1
48044,1,5
48044,1,2
48044,1,2
48044,1,5
48044,1,3
48045,1,1
48045,1,1
48045,1,3
48045,1,1
48045,1,1
48045,1,1
48045,1,3
48045,1,2
48045,1,1
48045,1,1
48045,1,1
48045,1,3
48046,1,2
48046,1,2
48046,1,2
48046,1,1
48046,1,2
48046,1,1
48046,1,2
48046,1,1
48046,1,1
48046,1,1
48046,1,3
48047,1,5
48047,1,2
48047,1,2
48047,1,6
48047,1,1
48047,1,1
48047,1,3
48047,1,1
48047,1,2
48047,1,1
48048,1,10
48048,1,3
48048,1,1
48048,1,1
48048,1,1
48048,1,8
48048,1,1
48048,1,2
48048,1,1
48048,1,2
48049,1,3
48049,1,2
48049,1,1
48049,1,3
48049,1,1
48049,1,1
48049,1,1
48049,1,2
48049,1,3
48049,1,5
48049,1,2
48050,1,1
48050,1,1
48050,1,2
48050,1,3
48050,1,1
48050,1,3
48050,1,1
48050,1,1
48050,1,6
48050,1,2
48050,1,2
48051,1,1
48051,1,4
48051,1,1
48051,1,1
48051,1,2
48051,1,1
48051,1,5
48051,1,4
48051,1,5
48051,1,2
48052,1,2
48052,1,1
48052,1,1
48052,1,2
48052,1,1
48052,1,2
48052,1,2
48052,1,1
48052,1,2
48052,1,1
48052,1,3
48053,1,1
48053,1,1
48053,1,2
48053,1,3
48053,1,3
48053,1,1
48053,1,1
48053,1,1
48053,1,1
48053,1,1
48053,1,4
48054,1,1
48054,1,1
48054,1,2
48054,1,1
48054,1,3
48054,1,1
48054,1,4
48054,1,2
48054,1,4
48054,1,1
48054,1,2
48055,1,3
48055,1,1
48055,1,7
48055,1,2
48055,1,2
48055,1,1
48055,1,1
48055,1,2
48055,1,1
48055,1,1
48056,1,4
48056,1,1
48056,1,2
48056,1,2
48056,1,1
48056,1,1
48056,1,3
48056,1,1
48056,1,1
48056,1,4
48056,1,2
48057,1,2
48057,1,1
48057,1,1
48057,1,1
48057,1,5
48057,1,3
48057,1,1
48057,1,3
48057,1,5
48057,1,1
48058,1,1
48058,1,1
48058,1,1
48058,1,3
48058,1,1
48058,1,3
48058,1,1
48058,1,1
48058,1,1
48059,1,3
48059,1,3
48059,1,1
48059,1,1
48059,1,2
48059,1,3
48059,1,1
48060,1,1
48060,1,2
48060,1,3
48060,1,1
48060,1,7
48061,1,3
48061,1,1
48061,1,1
48061,1,4
48061,1,4
48061,1,2
48062,1,3
48062,1,6
48062,1,3
48062,1,1
48062,1,2
48063,1,4
48063,1,1
48063,1,1
48063,1,2
48063,1,1
48063,1,1
48063,1,1
48063,1,5
48063,1,1
48063,1,1
48063,1,1
48064,1,2
48064,1,1
48064,1,2
48064,1,3
48064,1,2
48064,1,1
48064,1,4
48064,1,2
48064,1,2
48064,1,1
48065,1,4
48065,1,2
48065,1,3
48065,1,1
48065,1,3
48065,1,8
48065,1,3
48065,1,3
48065,1,5
48065,1,1
48066,1,1
48066,1,3
48066,1,2
48066,1,1
48066,1,1
48066,1,1
48066,1,3
48066,1,7
48066,1,3
48066,1,4
48067,1,1
48067,1,1
48067,1,1
48067,1,2
48067,1,2
48067,1,4
48067,1,1
48067,1,1
48067,1,2
48067,1,3
48067,1,1
48068,1,5
48068,1,5
48068,1,2
48068,1,2
48068,1,2
48068,1,1
48068,1,1
48068,1,3
48068,1,3
48068,1,2
48069,1,1
48069,1,1
48069,1,1
