"timeMillisSpent","calculateCountPerSecond"
4466,41
8757,0
13155,0
13157,1000
17309,0
17310,1000
21594,1
25957,0
25961,250
30520,2
35034,0
39414,0
39418,750
43806,7
48173,0
52305,1
56656,0
60880,0
65135,0
69437,0
73845,0
73846,1000
78198,5
82696,0
86913,0
86915,500
91223,1
91225,1000
95722,41
95724,500
100215,4
104433,0
108848,0
108850,500
113176,19
117652,0
122001,0
126337,0
130805,0
135145,0
139514,0
143764,0
148142,0
152406,0
156577,0
156578,2000
160932,15
165297,0
173951,0
178189,0
182538,0
182539,1000
186661,1
190997,0
195338,0
199584,0
199588,750
203869,3
208173,0
212483,0
216859,0
221273,0
225603,0
225606,333
230153,62
234507,0
238847,0
243190,0
247378,0
251718,0
256207,0
260553,0
264779,0
268991,0
273403,0
273404,1000
277607,2
281739,0
281740,5000
286231,4
290561,0
295039,0
299323,0
303661,0
303662,1000
307999,7
312488,0
316679,0
321163,0
325394,0
329693,0
334039,0
338405,0
347333,0
351653,0
355873,0
360180,0
364686,0
369054,0
373509,0
378020,0
382359,0
386717,0
390876,0
395140,0
399412,0
403532,0
407957,0
412457,0
416810,0
421335,1
425721,0
430092,0
434385,0
438794,0
442994,0
447389,0
451623,0
455910,0
460218,0
464482,0
468844,0
473315,1
477800,0
482160,0
486634,0
490899,0
490901,500
495317,3
499815,0
504042,0
504044,1000
508556,0
513114,0
517556,0
517560,250
522049,0
522050,1000
526438,10
530778,0
530779,1000
535286,1
539693,0
544170,0
548420,0
548421,1000
552756,12
557140,0
561692,0
565980,0
570255,0
574752,0
579077,0
583497,0
587906,0
592349,0
596965,0
601493,0
