"timeMillisSpent","calculateCountPerSecond"
4307,48
8644,0
13010,0
17316,0
21562,0
25708,0
25709,2000
30057,1
34315,0
38675,0
38675,1000
42858,2
47223,0
51473,0
51473,1000
55753,16
55753,1000
60025,5
60026,2000
64338,0
64338,1000
68539,22
72855,0
77323,1
81836,0
86132,0
90409,0
90409,1000
94658,1
99133,0
103417,0
107871,0
112231,0
116644,0
120824,0
120824,2000
125223,2
129572,0
133777,0
137991,0
142282,0
146576,0
146577,1000
150902,1
150902,1000
155187,1
159369,0
159369,1000
163901,1
168169,0
172342,0
172343,1000
176683,91
181048,0
185542,0
189868,0
189869,2000
194141,77
198531,0
198532,2000
203128,0
207614,0
207615,2000
211981,2
216202,0
216202,1000
220558,1
224896,0
224896,3000
229162,12
233663,0
238206,0
242489,1
246957,0
251259,1
255733,1
260115,0
260116,3000
264375,0
268730,0
268731,2000
273014,1
277382,0
281661,0
285975,0
290212,0
294580,0
298749,0
298749,1000
303021,1
307173,0
311650,0
316172,0
320421,0
324919,0
329159,0
333396,0
337746,0
342020,0
346487,0
350768,0
354948,0
359287,0
363595,0
367820,1
376719,0
381197,0
385695,0
389943,0
394215,0
398457,0
402800,0
407162,0
411405,0
415765,0
419934,0
424461,0
428761,0
433106,0
437657,0
441939,0
446430,0
450693,0
450693,1000
454947,1
454947,2000
459306,3
463693,0
468038,0
472424,0
472424,1000
476751,0
476751,1000
481169,29
481169,1000
485353,5
489615,0
494089,0
498293,1
502721,0
506871,0
511417,0
515935,0
520182,0
524622,0
528979,0
528979,1000
533346,0
537625,0
542123,0
546364,0
550843,0
555194,0
559647,0
563961,0
563961,4000
568325,0
572632,0
576932,0
581099,1
585683,1
590027,0
590028,3000
594374,5
598571,0
602862,0
