"timeMillisSpent","usedMemory","maxMemory"
4406,9516680,1834483712
8724,9516680,1834483712
8725,9516680,1834483712
13204,10183360,1834483712
17585,10183360,1834483712
21979,10866896,1834483712
26440,10867352,1834483712
30702,10867808,1834483712
35206,11534944,1834483712
39449,11535400,1834483712
43830,12204600,1834483712
48113,12204600,1834483712
52585,12871280,1834483712
56992,12871280,1834483712
61515,13538416,1834483712
65836,13538872,1834483712
70352,14197816,1834483712
74638,14198272,1834483712
78972,14865408,1834483712
83422,14867928,1834483712
87614,15534608,1834483712
91895,15534608,1834483712
96249,15534608,1834483712
100521,16201744,1834483712
104898,16202200,1834483712
104898,16202200,1834483712
109268,27399448,1834483712
109268,27399448,1834483712
113552,30700920,1834483712
117808,30701376,1834483712
122100,31370576,1834483712
126597,31370576,1834483712
126597,31370576,1834483712
130803,32037256,1834483712
135159,32037256,1834483712
139420,32037712,1834483712
139421,32037712,1834483712
143803,32696664,1834483712
143803,32696664,1834483712
148095,34022296,1834483712
152417,34022752,1834483712
156684,34689888,1834483712
160941,34692408,1834483712
165180,34692408,1834483712
169498,35351424,1834483712
173901,35351424,1834483712
178227,36018560,1834483712
182502,36019016,1834483712
186866,36686152,1834483712
191236,36686608,1834483712
195618,5278976,1834483712
200016,5281496,1834483712
204381,5281496,1834483712
208845,5929576,1834483712
213078,5929576,1834483712
213078,5929576,1834483712
217428,6578064,1834483712
217428,6578064,1834483712
221881,7883952,1834483712
226139,7884408,1834483712
226139,7884408,1834483712
230384,8533368,1834483712
234614,9190048,1834483712
234615,9190048,1834483712
239154,9840616,1834483712
239154,9840616,1834483712
243540,11145672,1834483712
247843,11145672,1834483712
252234,11803280,1834483712
256729,11803736,1834483712
261255,12461800,1834483712
265516,12462256,1834483712
269817,13118936,1834483712
278787,13121912,1834483712
278787,13769944,1834483712
282922,14434360,1834483712
287429,14434360,1834483712
287429,14434360,1834483712
291777,15090584,1834483712
296063,15091040,1834483712
296063,15091040,1834483712
300523,15739552,1834483712
304786,16388048,1834483712
309004,16388504,1834483712
313325,17037016,1834483712
317692,17039536,1834483712
321928,17687728,1834483712
326187,17687728,1834483712
330555,18343952,1834483712
330555,18343952,1834483712
334880,18993184,1834483712
339225,18993640,1834483712
343756,19650320,1834483712
347978,19650776,1834483712
352311,20299376,1834483712
356616,20301896,1834483712
361016,20958120,1834483712
365355,20958120,1834483712
369674,21614344,1834483712
373901,21614800,1834483712
378129,22287880,1834483712
382373,22288336,1834483712
386877,22288792,1834483712
391355,22937280,1834483712
395812,22939800,1834483712
400207,23588128,1834483712
404438,23588128,1834483712
408789,24244352,1834483712
413152,24244808,1834483712
417470,24901488,1834483712
421827,24901944,1834483712
426101,25554344,1834483712
430625,25554800,1834483712
435156,26213544,1834483712
439342,26213544,1834483712
443684,26213544,1834483712
448037,26861816,1834483712
456712,27518952,1834483712
461163,27519408,1834483712
469786,28176544,1834483712
474326,28827384,1834483712
478667,28827384,1834483712
483199,29500008,1834483712
487723,29500008,1834483712
487723,29500008,1834483712
491987,35349632,1834483712
496381,35350088,1834483712
496381,35350088,1834483712
500931,36006768,1834483712
505337,36007224,1834483712
509658,36663904,1834483712
513900,36666424,1834483712
518259,37136272,1834483712
522713,37136272,1834483712
527121,5467544,1834483712
531522,5467544,1834483712
535803,6105128,1834483712
540295,6105128,1834483712
544640,6743480,1834483712
549155,6743936,1834483712
553453,7382312,1834483712
557694,7382768,1834483712
562044,8021304,1834483712
566363,8023824,1834483712
570816,8669592,1834483712
575164,8669592,1834483712
579488,9315360,1834483712
584035,9315816,1834483712
588471,9963424,1834483712
588471,9963424,1834483712
592748,10601712,1834483712
597032,11247936,1834483712
601504,11248392,1834483712
