"timeMillisSpent","calculateCountPerSecond"
4367,14
8556,0
12842,0
17149,0
21637,0
25876,0
30351,0
34679,0
38977,0
43235,0
43235,1000
47727,192
47727,1000
52235,3
56556,0
56556,1000
60837,2
65359,0
69776,0
69776,1000
74243,0
74244,1000
78504,225
83032,0
83032,2000
87537,53
91862,0
96036,0
96036,1000
100331,46
109021,0
113302,0
117793,0
117794,1000
122068,6
126585,0
126585,1000
131139,3
135507,0
139760,0
144174,0
148709,0
152928,0
157248,0
161518,0
165939,0
170464,1
174857,0
179152,0
183703,0
188043,0
192423,0
196740,0
201070,1
205575,0
205575,1000
209929,7
209929,1000
214356,14
214356,1000
218712,5
223202,0
223202,3000
227640,5
227640,1000
232212,166
232212,2000
236652,7
236652,1000
240924,0
240924,1000
245313,1
249637,0
254017,0
258345,0
262875,0
267213,0
271551,0
275940,0
280136,0
284495,0
288700,0
292859,0
297228,0
301555,0
305897,0
310080,0
314599,1
318812,0
323264,0
327559,0
331897,0
336479,0
340789,0
345229,0
349494,0
353967,0
358267,0
362580,0
366956,0
371473,0
376008,0
376008,2000
380309,2
380309,1000
384638,2
388946,1
393240,0
393240,1000
397632,0
402117,0
406313,0
410550,0
414928,0
419156,1
423477,0
427825,0
432175,0
436717,0
441067,0
445362,0
449723,1
454225,0
458606,1
462950,0
467260,0
471817,0
476058,0
476058,1000
480225,0
484519,0
488802,0
493037,0
497446,0
501664,0
506172,0
510410,0
514764,1
519098,0
523390,0
527743,0
532070,0
536411,0
540936,0
545488,0
549771,0
553990,0
553990,2000
558390,0
562693,0
567240,0
571551,0
571551,1000
575749,1
575749,1000
580114,0
584652,0
589188,0
593519,0
597781,0
602147,0
