"timeMillisSpent","acceptedMoveCount","selectedMoveCount"
2,1,7
3,1,6
3,1,1
3,1,1
3,1,8
3,1,2
3,1,2
3,1,2
3,1,8
3,1,3
3,1,9
3,1,2
3,1,4
3,1,7
3,1,2
3,1,2
4,1,5
4,1,4
4,1,3
4,1,1
4,1,3
4,1,2
4,1,4
4,1,1
4299,1,2
8540,1,2
12863,1,2
17267,1,1
21481,1,1
25773,1,1
30282,1,2
34688,1,1
38977,1,2
43501,1,2
47791,1,1
52102,1,2
56584,1,1
56584,1,2
60941,1,1
65383,1,1
69880,1,3
74162,1,3
78440,1,2
82900,1,2
87378,1,1
87378,1,1
91713,1,2
91713,1,1
91713,1,2
96083,1,3
96083,1,1
96084,1,2
96084,1,2
96084,1,1
96084,1,1
96084,1,1
96084,1,2
96084,1,2
96085,1,4
96085,1,1
96085,1,4
96085,1,1
96085,1,1
96086,1,4
96086,1,4
96086,1,11
96087,1,6
96087,1,3
96087,1,1
96087,1,1
96087,1,1
96088,1,8
96088,1,2
96088,1,1
100286,1,1
104799,1,2
109153,1,3
113423,1,2
117675,1,1
117676,1,4
117676,1,4
117676,1,1
117676,1,2
117676,1,1
117676,1,2
121850,1,3
126041,1,1
130497,1,1
134932,1,3
134933,1,2
134933,1,1
139359,1,3
143883,1,4
143883,1,1
143883,1,1
143883,1,2
143883,1,3
148359,1,2
148359,1,1
148359,1,1
152776,1,3
157095,1,1
161603,1,1
161603,1,1
165802,1,1
165802,1,3
165802,1,1
165802,1,4
165802,1,1
165802,1,1
165802,1,1
165802,1,1
165802,1,1
165802,1,1
165802,1,3
165802,1,2
165802,1,4
165802,1,2
165802,1,1
165803,1,1
165803,1,1
165803,1,3
165803,1,4
165803,1,2
165803,1,1
165803,1,2
165803,1,4
165803,1,2
165803,1,1
165803,1,2
165803,1,1
165803,1,5
165803,1,1
165803,1,1
165803,1,2
165803,1,3
165803,1,2
165803,1,3
165803,1,2
165803,1,1
165803,1,1
165803,1,2
165803,1,1
165803,1,1
165804,1,1
165804,1,1
165804,1,2
165804,1,2
170048,1,1
170048,1,1
170048,1,1
170048,1,3
170048,1,2
170049,1,1
170049,1,3
170049,1,13
170049,1,1
170049,1,1
170049,1,10
170049,1,4
170049,1,1
170049,1,1
170049,1,2
170049,1,6
170049,1,1
170049,1,2
170049,1,1
170049,1,3
170049,1,1
