"timeMillisSpent","calculateCountPerSecond"
4227,23
8509,0
13050,0
17386,0
21677,0
26130,0
26130,1000
30464,1
34673,0
38961,0
43198,0
43198,1000
47547,1
52026,0
56333,0
60847,0
65166,0
69729,0
74226,0
78602,0
78602,1000
83163,1
83163,2000
87401,3
91957,0
96290,0
100788,0
105131,0
105131,2000
109622,0
113901,0
113901,1000
118277,4
118277,2000
122602,5
126784,0
126784,2000
131290,4
135633,0
140103,0
140103,3000
144442,0
148817,0
153349,1
157847,0
162054,0
166432,0
170942,0
175247,0
175248,1000
179465,0
179465,1000
183993,13
183993,3000
188262,1
192484,0
196841,0
201249,0
205749,0
210269,0
214624,0
218932,0
223468,0
227799,0
232357,1
236777,0
236777,2000
241164,12
245523,0
250072,0
250072,2000
254560,2
259064,0
259064,1000
263421,0
267690,0
272094,0
276380,0
276380,1000
280896,3
285233,0
285233,2000
289512,91
289512,1000
294045,8
294045,4000
298540,12
302992,0
307314,0
311584,0
315780,0
320154,0
324485,0
328790,0
333266,0
337673,1
342040,0
346171,0
350502,0
355062,1
359538,0
363873,0
368080,0
368080,3000
372330,5
376627,0
380920,1
385195,0
389459,0
393920,0
398238,0
402578,0
407139,1
411504,0
416037,0
420360,0
424710,0
429190,0
433697,0
438063,0
442284,0
442284,2000
446661,40
446661,1000
450940,5
455285,0
455285,2000
459782,8
464108,0
468571,0
473117,0
477472,0
481984,0
486490,0
490700,0
494928,0
499336,0
503712,0
508275,0
512788,0
512788,1000
516977,9
521439,0
521439,5000
525881,8
530246,0
534449,0
538879,0
547772,0
551950,0
556298,0
560527,0
564856,0
577644,0
581922,0
586174,0
594788,0
599309,0
603522,0
