"timeMillisSpent","calculateCountPerSecond"
4259,48
8453,0
12971,0
17283,0
21795,0
25932,0
30084,0
34464,0
38872,0
43142,0
47444,0
51976,0
56266,0
60480,0
64667,0
68920,0
73193,0
77663,0
81927,0
86271,1
90459,0
94622,0
99029,0
99030,1000
103202,8
107495,0
111930,0
116282,0
120621,0
124894,0
124895,2000
129263,5
129263,2000
133814,8
133814,3000
138054,1
142246,0
146514,0
150882,0
155239,0
159553,0
164068,0
168381,0
172897,0
177232,0
177232,1000
181596,2
186110,0
186111,2000
190414,1
194749,0
199254,0
203485,0
203486,5000
207886,30
212359,0
216677,0
216677,1000
221027,8
225521,0
225521,2000
229868,30
229869,1000
234073,0
238298,0
238298,1000
242870,3
242871,1000
247266,5
247266,2000
251738,0
251738,3000
256292,10
256292,2000
260610,9
264901,0
269495,0
273987,0
282770,0
287132,0
287132,1000
291390,2
295699,0
299963,0
304231,0
308480,0
308480,1000
312880,0
317231,0
317231,1000
321429,29
325671,0
325671,2000
330246,2
334596,1
339108,1
343470,0
348030,0
352424,0
356744,0
361126,0
365493,0
369843,0
374379,0
378747,0
383203,0
387495,0
391873,0
396246,0
400808,0
405113,0
405113,1000
409495,1
413849,0
418185,0
422636,0
426924,1
431291,0
435823,0
435823,1000
440231,0
444773,0
444773,1000
449134,73
453389,0
457745,0
457745,1000
462015,23
466652,0
470971,0
475415,1
479775,2
484134,0
488515,0
493085,0
497434,0
502002,0
506383,0
510659,0
515058,0
519571,1
524079,0
524079,3000
528584,5
533123,1
537464,0
550598,0
559423,0
563803,0
568009,0
572333,1
576816,0
581171,0
585694,0
590154,0
594351,0
598877,0
603305,0
